id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
901667008,K2am-2021-04-08_15-40.WAV,2021 Kern 2,2021,4,8,15,40,Agelaius tricolor,Courtship Song,49.8933,50.832,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/08/pem8hxalyx7i/422a076c-7619-42cf-b012-8ed6dbc8fe45.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=XTDhpTtm0VKK6khlNcg9aSErf64%3D,0.56576,24544
901667009,K2am-2021-04-13_14-40.WAV,2021 Kern 2,2021,4,13,14,40,Agelaius tricolor,Courtship Song,18.7573,19.696,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/13/pem8hxalyx7i/fccb2bd2-ba68-4dcd-b747-011ed5cb4fff.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=5mnbRkrVKwkonLIZdOisQbzqkrY%3D,0.565586,24544
901667010,K2am-2021-04-09_02-00.WAV,2021 Kern 2,2021,4,9,2,0,Agelaius tricolor,Courtship Song,24.6293,25.568,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/09/pem8hxalyx7i/8ae3d688-5edf-4eca-b921-2aef12591650.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=b4y%2FzJ6h3IQBLfJWkRrYUaHkIu0%3D,0.426777,24544
901667011,K2am-2021-04-19_07-20.WAV,2021 Kern 2,2021,4,19,7,20,Agelaius tricolor,Courtship Song,39.92,40.8587,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/19/pem8hxalyx7i/e7ea6f5d-aaa2-4d86-93b7-620ccb7c0581.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=qWz8y3pcS9%2BiCB4sZeRXD79ryYI%3D,0.556502,24544
901667012,K2am-2021-04-15_15-00.WAV,2021 Kern 2,2021,4,15,15,0,Agelaius tricolor,Courtship Song,57.0827,58.0213,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/15/pem8hxalyx7i/a49e2835-e802-46e1-bb05-300946676cde.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=s%2FJVuurVNgcqrRJeqoVkcYGBQD8%3D,0.440437,24544
901667013,K2am-2021-04-17_22-40.WAV,2021 Kern 2,2021,4,17,22,40,Agelaius tricolor,Courtship Song,2.21333,3.152,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/18/pem8hxalyx7i/71a140f8-3b5f-4663-aa72-1ee1d2e92ff9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=jv%2B85j%2BPYkzqoEpiBFuob5hOG%2BE%3D,0.24765,24544
901667014,K2am-2021-04-18_06-20.WAV,2021 Kern 2,2021,4,18,6,20,Agelaius tricolor,Courtship Song,21.456,22.3947,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/18/pem8hxalyx7i/3429a464-f302-4278-91fe-7cc438befeae.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=Ktolvzf8DSTzXEN4Y0fGsyPOU8Q%3D,0.463156,24544
901667015,K2am-2021-04-12_18-20.WAV,2021 Kern 2,2021,4,12,18,20,Agelaius tricolor,Courtship Song,39.3493,40.288,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/13/pem8hxalyx7i/b9e139cd-333c-4065-b97a-0196320673c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=opeBisyHQfyWTS0VuggfNd2czPQ%3D,0.454562,24544
901667016,K2am-2021-04-13_23-40.WAV,2021 Kern 2,2021,4,13,23,40,Agelaius tricolor,Courtship Song,41.632,42.5707,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/14/pem8hxalyx7i/74655d77-bd03-4e12-bc90-8d65bf4c7c56.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=LwRexymxQ%2BR%2FW8S2oxiq9nut8hQ%3D,0.43367,24544
901667017,K2am-2021-04-19_22-40.WAV,2021 Kern 2,2021,4,19,22,40,Agelaius tricolor,Courtship Song,2.99733,3.936,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/20/pem8hxalyx7i/d6172339-9fb9-4c58-8553-c636e6fe7135.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866930&Signature=u3ZTNRBWpGNq1L9e483UCH0fs3Y%3D,0.231506,24544
