id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1070573289,OCam-2021-06-10_12-00.flac,2021 Rodeo Grounds 1,2021,6,10,12,0,sp31,Simple Call,28.7787,29.664,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/10/r61d20u8qmlf/4676746d-eabc-b20c-09df-fc1667c33bc0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=wBBL5VjxiWV3Bfn5FGav3KsCZZ8%3D,0.245396,24231
1070573290,OCam-2021-06-11_05-20.flac,2021 Rodeo Grounds 1,2021,6,11,5,20,sp31,Simple Call,47.2053,48.0907,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/10/r61d20u8qmlf/12488ae8-e067-a9d4-9a02-2368655bc7a9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=U84TWtcLSBRyZXinXtyuO2HzMFc%3D,0.250852,24231
1070573291,OCam-2021-06-11_06-00.flac,2021 Rodeo Grounds 1,2021,6,11,6,0,sp31,Simple Call,53.7813,54.6667,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/10/r61d20u8qmlf/3cc32e7c-8dbf-116b-2442-6e43ea24367d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=UzI%2Bck%2FtdOKsFt1gS0CmgtTNmYE%3D,0.213505,24231
1070573292,OCam-2021-06-11_06-20.flac,2021 Rodeo Grounds 1,2021,6,11,6,20,sp31,Simple Call,8.09067,8.976,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/10/r61d20u8qmlf/e2151c54-f5eb-f90e-00a3-174d26acef27.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=pm8Wu1yFRwUlfZR6auxVgnf3NYU%3D,0.39818,24231
1070573293,OCam-2021-06-11_09-00.flac,2021 Rodeo Grounds 1,2021,6,11,9,0,sp31,Simple Call,16.88,17.7653,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/11/r61d20u8qmlf/29fa43ba-8e9f-6948-1864-18b47debd715.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=KiKt5BEcmhH0uCDrQ261Xl378Lc%3D,0.222189,24231
1070573294,OCam-2021-06-11_10-20.flac,2021 Rodeo Grounds 1,2021,6,11,10,20,sp31,Simple Call,57.5947,58.48,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/11/r61d20u8qmlf/98c78614-4917-f610-ccf6-c6ab8914511d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=%2BYj42WurJqA90HXAhYmcqZmI6ic%3D,0.229097,24231
1070573295,OCam-2021-06-11_15-00.flac,2021 Rodeo Grounds 1,2021,6,11,15,0,sp31,Simple Call,30.7733,31.6587,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/11/r61d20u8qmlf/74e616c9-c130-7ab7-10ed-83e54bf0aa58.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=LqgmnVDKUAdxEdD36t4EkTsNu4w%3D,0.207346,24231
1070573296,OCam-2021-06-12_05-40.flac,2021 Rodeo Grounds 1,2021,6,12,5,40,sp31,Simple Call,28.5173,29.4027,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/11/r61d20u8qmlf/d0b89447-d34b-9808-5981-5a422ecce99c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=6sV0cj%2FjgFZOTqDg20JdXkCGu0g%3D,0.238288,24231
1070573297,OCam-2021-06-12_07-00.flac,2021 Rodeo Grounds 1,2021,6,12,7,0,sp31,Simple Call,34.64,35.5253,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/148988cf-d587-2e9f-977c-90833031d47c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=4W93ASavUDzsGn7EVyPN9hqdNsA%3D,0.212914,24231
1070573298,OCam-2021-06-12_07-20.flac,2021 Rodeo Grounds 1,2021,6,12,7,20,sp31,Simple Call,25.392,26.2773,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/173d8f99-480a-c674-6245-12f7ad011747.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=AVLhK8dvqW0rAtJoDUXu5iMNn%2Fw%3D,0.230519,24231
1070573299,OCam-2021-06-12_07-40.flac,2021 Rodeo Grounds 1,2021,6,12,7,40,sp31,Simple Call,34.2133,35.0987,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/f2c4f380-f97b-16f6-ce89-e02a253867d8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=8mPKCRQghd6I5UlTvdnk%2FzWNn4Y%3D,0.214425,24231
1070573300,OCam-2021-06-12_08-00.flac,2021 Rodeo Grounds 1,2021,6,12,8,0,sp31,Simple Call,8.88,9.76533,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/6f0209ca-722b-a857-a4fd-b9e6629ec92e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=BeCYN%2BcG%2Bw5ujEweR05GKGSu1Fs%3D,0.358147,24231
1070573301,OCam-2021-06-12_08-20.flac,2021 Rodeo Grounds 1,2021,6,12,8,20,sp31,Simple Call,26.6613,27.5467,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/fe4d2015-994e-55e5-a80f-c8cc1295ca4a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=qclwaP6c7uyYKZMUmxeO%2FnUXIIY%3D,0.203828,24231
1070573302,OCam-2021-06-12_08-40.flac,2021 Rodeo Grounds 1,2021,6,12,8,40,sp31,Simple Call,31.3973,32.2827,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/db4c9363-d968-60ab-27a5-313cabda9092.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=ZbnRoPYqztaHJvx0Kmx%2BIwnhL5c%3D,0.251652,24231
1070573303,OCam-2021-06-12_09-20.flac,2021 Rodeo Grounds 1,2021,6,12,9,20,sp31,Simple Call,15.6587,16.544,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/34e854ec-bcb5-40ce-53f6-25c1f20e2ec1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=WtHWEeSxxx6r7dOYfoH9tt4OXu8%3D,0.252849,24231
1070573304,OCam-2021-06-12_10-00.flac,2021 Rodeo Grounds 1,2021,6,12,10,0,sp31,Simple Call,9.15733,10.0427,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/fbef354d-81c0-475b-d850-87a9a869d16e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=BGRse0LDWAoekSLFEmzvRH%2FM5QU%3D,0.207643,24231
1070573305,OCam-2021-06-12_11-20.flac,2021 Rodeo Grounds 1,2021,6,12,11,20,sp31,Simple Call,37.1307,38.016,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/e7a4a67e-04b9-4155-1251-d43768956cad.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=0WnREK03JckVdSDYpHNhPykPKtw%3D,0.219187,24231
1070573306,OCam-2021-06-12_11-40.flac,2021 Rodeo Grounds 1,2021,6,12,11,40,sp31,Simple Call,13.3973,14.2827,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/0098a49a-1086-9b93-1476-afcc43852ae4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=LeRkEGz3%2Frdt0HpoySQbu8Yls%2FE%3D,0.252778,24231
1070573307,OCam-2021-06-12_12-00.flac,2021 Rodeo Grounds 1,2021,6,12,12,0,sp31,Simple Call,50.7413,51.6267,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/644a2e09-ed40-1331-deb7-27ffc69c5c0b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=i%2FvwzDNpzDovV6e5q3vXY58yCKU%3D,0.213644,24231
1070573308,OCam-2021-06-12_14-40.flac,2021 Rodeo Grounds 1,2021,6,12,14,40,sp31,Simple Call,16.0427,16.928,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/b0359600-4788-8fc5-df3f-d976e6103095.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=BqUt%2Ba4IFCkgySzbh97lrUMDnm4%3D,0.247429,24231
1070573309,OCam-2021-06-12_19-00.flac,2021 Rodeo Grounds 1,2021,6,12,19,0,sp31,Simple Call,28.9227,29.808,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/28ebeced-2a7e-8713-0955-8bf4a333a1ab.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=P9VUoua%2Bvr2TuYLYoAcX05GX57Q%3D,0.230995,24231
1070573310,OCam-2021-06-12_20-40.flac,2021 Rodeo Grounds 1,2021,6,12,20,40,sp31,Simple Call,23.3653,24.2507,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/12/r61d20u8qmlf/072e4ef8-5a0f-7c0b-2b27-5646a268f6f2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=c4bW9hM4NwR9g7hBBtj7ctcViD8%3D,0.205807,24231
1070573342,OCam-2021-04-23_05-40.flac,2021 Rodeo Grounds 1,2021,4,23,5,40,sp31,Simple Call,1.49867,2.384,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/22/r61d20u8qmlf/6a41b883-99fa-338c-4484-fdb307f576ac.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=z%2BSVV6I7qdqHge70dfMIGhGJi10%3D,0.224372,24231
1070573343,OCam-2021-04-23_07-40.flac,2021 Rodeo Grounds 1,2021,4,23,7,40,sp31,Simple Call,0.245333,1.13067,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/23/r61d20u8qmlf/c532e636-6ffc-d9e2-0e7c-040894f78fa6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=JThu4h0hHtuqBHc5OwKItbqLAL8%3D,0.22489,24231
1070573344,OCam-2021-04-23_08-00.flac,2021 Rodeo Grounds 1,2021,4,23,8,0,sp31,Simple Call,57.1573,58.0427,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/23/r61d20u8qmlf/99868b26-97f5-10b9-a542-cbff6dcdf95f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176858&Signature=EgpsSEXmU3xOQKF27C12feLIThc%3D,0.241105,24231
