id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1085229005,OCam-2021-04-22_20-20.flac,2021 Rodeo Grounds 1,2021,4,22,20,20,Pseudacris regilla,Common Song,47.808,48.2133,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/22/r61d20u8qmlf/c503a9f6-ae2b-1bea-75a8-6ef2a77b79f0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=yzrSiPOy1dBAEWyxOZi56wpf%2FbM%3D,0.242934,24231
1085229006,OCam-2021-04-23_05-40.flac,2021 Rodeo Grounds 1,2021,4,23,5,40,Pseudacris regilla,Common Song,50.6187,51.024,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/22/r61d20u8qmlf/6a41b883-99fa-338c-4484-fdb307f576ac.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=sdPXqKmmgOjqYI14SauIzDCQ3zU%3D,0.26891,24231
1085229007,OCam-2021-04-23_06-00.flac,2021 Rodeo Grounds 1,2021,4,23,6,0,Pseudacris regilla,Common Song,20.0747,20.48,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/22/r61d20u8qmlf/5d076a57-92b7-33e8-4897-ba89191fbcb3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=D7r%2FM6ZvG1vIT5Y0j9X16eKiUsI%3D,0.319895,24231
1085229008,OCam-2021-04-23_06-20.flac,2021 Rodeo Grounds 1,2021,4,23,6,20,Pseudacris regilla,Common Song,26.032,26.4373,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/22/r61d20u8qmlf/32be1dae-136e-2fa4-39b3-a67fbe6f1037.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=NedMcIM1fhReS%2BUjfyWq26mimy0%3D,0.358281,24231
1085229009,OCam-2021-04-23_06-40.flac,2021 Rodeo Grounds 1,2021,4,23,6,40,Pseudacris regilla,Common Song,11.424,11.8293,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/22/r61d20u8qmlf/114e9927-97aa-073a-969b-448cfaac37c0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=mDCXmfn%2FWMz7Gi94YYTf4TVZNOs%3D,0.383986,24231
1085229010,OCam-2021-04-23_07-00.flac,2021 Rodeo Grounds 1,2021,4,23,7,0,Pseudacris regilla,Common Song,17.7547,18.16,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/23/r61d20u8qmlf/095a0699-f731-9d05-abb4-f3bb656e66f8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=AtHbof0dKGXmAeBFnQfmGnhgm5I%3D,0.380351,24231
1085229011,OCam-2021-04-23_07-20.flac,2021 Rodeo Grounds 1,2021,4,23,7,20,Pseudacris regilla,Common Song,2.56533,2.97067,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/23/r61d20u8qmlf/323fb4ef-7c5e-1d84-744c-cdb4dfd44893.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=V2uAYfuH2ZGLb9VTqtRIvY7H7B8%3D,0.351861,24231
1085229012,OCam-2021-04-23_07-40.flac,2021 Rodeo Grounds 1,2021,4,23,7,40,Pseudacris regilla,Common Song,22.288,22.6933,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/23/r61d20u8qmlf/c532e636-6ffc-d9e2-0e7c-040894f78fa6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=Z%2FKM%2F3pYA4Bvi0j0PrnEh3EtsAI%3D,0.35381,24231
1085229013,OCam-2021-04-23_08-00.flac,2021 Rodeo Grounds 1,2021,4,23,8,0,Pseudacris regilla,Common Song,56.9867,57.392,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/23/r61d20u8qmlf/99868b26-97f5-10b9-a542-cbff6dcdf95f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=gTcV6et5E4HHLL%2Bq4bNawuzTHWo%3D,0.395122,24231
1085229014,OCam-2021-04-23_08-20.flac,2021 Rodeo Grounds 1,2021,4,23,8,20,Pseudacris regilla,Common Song,59.5253,59.9307,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/04/23/r61d20u8qmlf/eb054172-f1b2-72d1-fe0e-8a28484fba53.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767423349&Signature=AZy6PPqjPG5HxE1mU7t3KUnccVQ%3D,0.381155,24231
