recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
WW1am-2021-06-10_11-00.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,10,11,0,Agelaius tricolor,Common Song,25.65333366,27.07733345,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/10/xfkxyperlyag/effcc980-c9fb-49fe-8def-cbc6df0e3977.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001000Z&X-Amz-Expires=604800&X-Amz-Signature=3bec3baa3b91d068f3da28ef5daec3470b35834d2effde75d0ea5bf9ad000111&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Deffcc980-c9fb-49fe-8def-cbc6df0e3977.flac&x-id=GetObject,0.268865466,24107
WW1am-2021-06-11_11-00.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,11,11,0,Agelaius tricolor,Common Song,19.02400017,20.44799995,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/11/xfkxyperlyag/0a56ea47-565d-4f3e-a96f-db3f5e744c74.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001000Z&X-Amz-Expires=604800&X-Amz-Signature=10aaa0e56799aa8de88224b6ed742275d51d98237d65735b537bfa9aa61ef505&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D0a56ea47-565d-4f3e-a96f-db3f5e744c74.flac&x-id=GetObject,0.208228365,24107
WW1am-2021-06-13_08-40.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,13,8,40,Agelaius tricolor,Common Song,47.0719986,48.49599838,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/13/xfkxyperlyag/8ed622c5-e265-446e-ad40-08cb205021d0.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001001Z&X-Amz-Expires=604800&X-Amz-Signature=1bc662c99ab30689ce41bdda33a8f4a2690e0aed25afcb48a918ee207f658c75&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D8ed622c5-e265-446e-ad40-08cb205021d0.flac&x-id=GetObject,0.233359382,24107
WW1am-2021-06-13_09-00.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,13,9,0,Agelaius tricolor,Common Song,0.30399999,1.728000045,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/13/xfkxyperlyag/a8dfd90f-6f0c-4566-bdbe-d94c579aab8a.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001001Z&X-Amz-Expires=604800&X-Amz-Signature=ba89055466bb7b33b1d2a5bc6bd76024179180eee5c44a29bfc5b3ae6d989ae7&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Da8dfd90f-6f0c-4566-bdbe-d94c579aab8a.flac&x-id=GetObject,0.233943775,24107
WW1am-2021-06-13_09-40.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,13,9,40,Agelaius tricolor,Common Song,42.01599884,43.43999863,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/13/xfkxyperlyag/66afe14f-f42e-4bf2-b782-3ba55d3cef54.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001001Z&X-Amz-Expires=604800&X-Amz-Signature=44dd4752d9f00a09352e9c188d08f471f8c3e350b35f3aa4e6b90ab06b408570&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D66afe14f-f42e-4bf2-b782-3ba55d3cef54.flac&x-id=GetObject,0.227248415,24107
WW1am-2021-06-13_10-20.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,13,10,20,Agelaius tricolor,Common Song,50.36800003,51.79199982,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/13/xfkxyperlyag/b64b9b8f-73c3-4ed1-ae82-5059e0f60a1b.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001001Z&X-Amz-Expires=604800&X-Amz-Signature=698e91ef93dac2bf6b4260c2310df233d8780372eed6be4fae1d2f21248e9479&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Db64b9b8f-73c3-4ed1-ae82-5059e0f60a1b.flac&x-id=GetObject,0.227542549,24107
WW1am-2021-06-14_06-40.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,14,6,40,Agelaius tricolor,Common Song,23.30666733,24.73066711,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/14/xfkxyperlyag/dfec03b0-38e6-4b2e-987f-4134e0e6382f.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001001Z&X-Amz-Expires=604800&X-Amz-Signature=d519800201adbba0406ca89bbc49e7c39974da1beb3e7e0dedefea079adaf0ce&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Ddfec03b0-38e6-4b2e-987f-4134e0e6382f.flac&x-id=GetObject,0.251389712,24107
WW1am-2021-06-14_07-40.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,14,7,40,Agelaius tricolor,Common Song,22.47999954,23.90399933,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/14/xfkxyperlyag/63004f3a-f7e3-49a9-9d3b-fff660a26b5c.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001001Z&X-Amz-Expires=604800&X-Amz-Signature=1583f7f5f22ac0a9f310a54356691c30f3520c9b33bc609f3994006de6d36edb&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D63004f3a-f7e3-49a9-9d3b-fff660a26b5c.flac&x-id=GetObject,0.219621032,24107
WW1am-2021-06-14_10-00.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,14,10,0,Agelaius tricolor,Common Song,6.250666618,7.674666882,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/14/xfkxyperlyag/8fcf8f68-d6b5-435d-90cc-b2cf632b7241.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001001Z&X-Amz-Expires=604800&X-Amz-Signature=ef9b5d64d6ad2fd811c87104c7ffa404b52a9dd52a9f9ebb6250c70bccb59377&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D8fcf8f68-d6b5-435d-90cc-b2cf632b7241.flac&x-id=GetObject,0.205786541,24107
WW1am-2021-06-15_07-40.WAV-xfkxyperlyag.flac,2021 Willey Wetlands 1,2021,6,15,7,40,Agelaius tricolor,Common Song,45.62133408,47.04533386,938,5156,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/15/xfkxyperlyag/54d8ce27-0d42-4d87-b724-8198ebc9824c.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001001Z&X-Amz-Expires=604800&X-Amz-Signature=9612f844d6a0ab12532ab6ff20aa531b0e7ce1b88c8cdf679e1a6e8e497ae820&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D54d8ce27-0d42-4d87-b724-8198ebc9824c.flac&x-id=GetObject,0.266802639,24107
