recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
WWPam-2021-05-23_10-00.WAV,2021 Wind Wolves Preserve,2021,5,23,10,0,sp22,Simple Call,3.525333405,4.730666637,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/23/6v8np25o29hq/28af9490-a1f2-40f8-a88b-1e5fd292b5e6.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001323Z&X-Amz-Expires=604800&X-Amz-Signature=59f2ef4a447d0342a5cfc319f811641f35c40b8acac828056854d3d82388f4d2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D28af9490-a1f2-40f8-a88b-1e5fd292b5e6.flac&x-id=GetObject,0.219190493,24790
WWPam-2021-05-23_11-20.WAV,2021 Wind Wolves Preserve,2021,5,23,11,20,sp22,Simple Call,22.53866577,23.74399948,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/23/6v8np25o29hq/410d189c-15ff-44de-9b9e-8c4cc273d678.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001323Z&X-Amz-Expires=604800&X-Amz-Signature=3b1b7fc61ec6515dc0374852c3680524e5fbbf765d02a4ffdeafba7ad3b68b95&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D410d189c-15ff-44de-9b9e-8c4cc273d678.flac&x-id=GetObject,0.233228952,24790
WWPam-2021-05-23_12-00.WAV,2021 Wind Wolves Preserve,2021,5,23,12,0,sp22,Simple Call,41.96266556,43.16799927,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/23/6v8np25o29hq/b1058e9f-ac59-43d2-9a4b-61feafaf1513.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001323Z&X-Amz-Expires=604800&X-Amz-Signature=a85f5cf7eec3762093f918a351ebaaf374500c82fe8ce5da9673bf78e753c3e7&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Db1058e9f-ac59-43d2-9a4b-61feafaf1513.flac&x-id=GetObject,0.207858339,24790
WWPam-2021-05-23_13-20.WAV,2021 Wind Wolves Preserve,2021,5,23,13,20,sp22,Simple Call,53.43466568,54.63999939,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/23/6v8np25o29hq/87b9954f-ee77-46db-8d78-da4e5efa1e45.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001323Z&X-Amz-Expires=604800&X-Amz-Signature=f74a815b5c08cfecbe8253d9cb54012eba469633077d75cbc6fd330e9ea0dece&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D87b9954f-ee77-46db-8d78-da4e5efa1e45.flac&x-id=GetObject,0.229545325,24790
WWPam-2021-05-23_15-20.WAV,2021 Wind Wolves Preserve,2021,5,23,15,20,sp22,Simple Call,39.86666489,41.0719986,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/23/6v8np25o29hq/485db4bb-4891-41c6-bd12-963212d5abfe.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001323Z&X-Amz-Expires=604800&X-Amz-Signature=6a904e3f02d9a59102606fc2f46e42b2f00b7981a8fbb45ac188d9fe7613ec28&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D485db4bb-4891-41c6-bd12-963212d5abfe.flac&x-id=GetObject,0.205136001,24790
WWPam-2021-05-23_18-20.WAV,2021 Wind Wolves Preserve,2021,5,23,18,20,sp22,Simple Call,11.68000031,12.88533306,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/24/6v8np25o29hq/13b7c0b4-ba24-4769-8e99-ba14411fe279.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001319Z&X-Amz-Expires=604800&X-Amz-Signature=edd22a97b98467d7b19c8d0c544754a553194ae3438b61c4f0042c63e6b7f109&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D13b7c0b4-ba24-4769-8e99-ba14411fe279.flac&x-id=GetObject,0.206429258,24790
WWPam-2021-05-24_08-40.WAV,2021 Wind Wolves Preserve,2021,5,24,8,40,sp22,Simple Call,46.77866745,47.98400116,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/24/6v8np25o29hq/f604d777-3d55-4e87-a1de-ade06b9d6354.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001323Z&X-Amz-Expires=604800&X-Amz-Signature=17f0b03799e7e56756330f8987443e76fb064e5ed69b66f07b53ad96158d31b5&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Df604d777-3d55-4e87-a1de-ade06b9d6354.flac&x-id=GetObject,0.24753572,24790
WWPam-2021-05-24_09-20.WAV,2021 Wind Wolves Preserve,2021,5,24,9,20,sp22,Simple Call,7.749333382,8.954667091,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/24/6v8np25o29hq/bc9b5ea7-a521-4c47-ab70-98a39e521e20.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001323Z&X-Amz-Expires=604800&X-Amz-Signature=49cc68e5cb442aa1d19610f965a257c310e339a7e9a870d07b9f2e9f33048950&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dbc9b5ea7-a521-4c47-ab70-98a39e521e20.flac&x-id=GetObject,0.262395442,24790
WWPam-2021-05-24_10-20.WAV,2021 Wind Wolves Preserve,2021,5,24,10,20,sp22,Simple Call,56.7733345,57.97866821,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/24/6v8np25o29hq/b42fba7c-485c-40ff-b4e2-c43f06fce700.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001323Z&X-Amz-Expires=604800&X-Amz-Signature=f16259adf6c35d424025ce7ce61eafc9123deddf29f259184bf9039982e4d704&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Db42fba7c-485c-40ff-b4e2-c43f06fce700.flac&x-id=GetObject,0.252521396,24790
WWPam-2021-05-24_13-00.WAV,2021 Wind Wolves Preserve,2021,5,24,13,0,sp22,Simple Call,1.45599997,2.661333323,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/05/24/6v8np25o29hq/7c27ab7f-d59a-46d2-b35f-8bd9c7f661ae.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001323Z&X-Amz-Expires=604800&X-Amz-Signature=03212c0cde247e82c5a1797dbec0237ced288a46b6c2faaf985ecd28b3027528&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D7c27ab7f-d59a-46d2-b35f-8bd9c7f661ae.flac&x-id=GetObject,0.210425317,24790
