id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1078419027,ConAam-2022-05-04_10-50.WAV,2022 Conaway North A,2022,5,4,10,50,Pseudacris regilla,Common Song,1.32267,1.78133,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/82sjidqz9yro/8f0a4a79-04d1-46ba-ae17-aea03eb8799d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=e2PR4iVK9kk%2BpNudM2atiJ%2BynuI%3D,0.317072,34113
1078419028,ConAam-2022-05-04_17-00.WAV,2022 Conaway North A,2022,5,4,17,0,Pseudacris regilla,Common Song,0.08,0.538667,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/82sjidqz9yro/b2c7fba0-1107-4dee-aab5-cf2cb06c6e7b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=zIG02uhAEXtWQFDyIKq4%2BiojDJU%3D,0.218756,34113
1078419029,ConAam-2022-05-04_15-00.WAV,2022 Conaway North A,2022,5,4,15,0,Pseudacris regilla,Common Song,7.33867,7.79733,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/82sjidqz9yro/ae1cab96-26ca-4379-9e63-84d12a908f68.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=JK7MWp%2FybPbcU5%2BGzW%2F3bDu1CQg%3D,0.244487,34113
1078419030,ConAam-2022-05-04_17-10.WAV,2022 Conaway North A,2022,5,4,17,10,Pseudacris regilla,Common Song,19.3013,19.76,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/82sjidqz9yro/5cd5a89c-e1f1-4f13-ba9c-6c9d15ed9b67.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=ks9%2BlZ65flsUgLFoMlJ7fYy9y8Q%3D,0.216236,34113
1078419031,ConAam-2022-05-04_20-40.WAV,2022 Conaway North A,2022,5,4,20,40,Pseudacris regilla,Common Song,12.4373,12.896,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/82sjidqz9yro/8025f23c-57c3-4abd-88a0-b9cbdfb5e139.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=zCJxh93P4Kd2zQAXfStSXHj%2FgHU%3D,0.203113,34113
1078419032,ConAam-2022-05-05_02-20.WAV,2022 Conaway North A,2022,5,5,2,20,Pseudacris regilla,Common Song,28.368,28.8267,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/82sjidqz9yro/fc56d05d-9a54-4556-b901-1e92ca69757b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=08REGw8yK1bdhP2FquW9oRMQKJM%3D,0.203628,34113
1078419033,ConAam-2022-05-05_02-00.WAV,2022 Conaway North A,2022,5,5,2,0,Pseudacris regilla,Common Song,47.12,47.5787,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/82sjidqz9yro/3999199e-7c48-40c0-b204-07bf9f3f8c22.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=2Ak61M9osTo1qodjJsjaXVwHVuU%3D,0.222312,34113
1078419034,ConAam-2022-05-05_02-40.WAV,2022 Conaway North A,2022,5,5,2,40,Pseudacris regilla,Common Song,46.4213,46.88,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/05/82sjidqz9yro/5e6fbe65-1ec1-48b5-8ed1-5df175f63e65.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=n5U%2BptrWEV7099a6DDMj11ucSzE%3D,0.205995,34113
1078419035,ConAam-2022-05-04_14-40.WAV,2022 Conaway North A,2022,5,4,14,40,Pseudacris regilla,Common Song,23.1893,23.648,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/82sjidqz9yro/05c3a028-f956-4788-86b5-eca05e6fce93.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=grJwBZOJV34KHXm6cVBSbZsjKa0%3D,0.247788,34113
1078419036,ConAam-2022-05-04_14-10.WAV,2022 Conaway North A,2022,5,4,14,10,Pseudacris regilla,Common Song,27.12,27.5787,656,4031,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/04/82sjidqz9yro/1167539f-8923-4e9a-b64d-710564c0cade.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767334827&Signature=wOa60lN47eWgvLsySMHJiLiJg%2Bs%3D,0.216856,34113
