recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
CRam-2022-03-27_11-40.WAV,2022 Creed Road,2022,3,27,11,40,Agelaius tricolor,Alternative Song 2,37.61600113,38.02133179,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/27/271em4hd6vmo/7a8e3e89-31ac-4921-b3c9-74958bac5c5a.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001745Z&X-Amz-Expires=604800&X-Amz-Signature=a68614aa0e98515d56f08df37e99b8d86cbb20cf13e68612abe0a9a40d3bc9b4&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D7a8e3e89-31ac-4921-b3c9-74958bac5c5a.flac&x-id=GetObject,0.306443572,34078
CRam-2022-03-28_11-40.WAV,2022 Creed Road,2022,3,28,11,40,Agelaius tricolor,Alternative Song 2,35.22133255,35.62666702,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/28/271em4hd6vmo/4b738b7e-6a02-46d9-858f-32f33b5a6ac3.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001745Z&X-Amz-Expires=604800&X-Amz-Signature=5456d53edc79f152245f79fa853d9e28d7340b647f3952f8046e2a53938d9c36&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D4b738b7e-6a02-46d9-858f-32f33b5a6ac3.flac&x-id=GetObject,0.229452133,34078
CRam-2022-03-28_18-00.WAV,2022 Creed Road,2022,3,28,18,0,Agelaius tricolor,Alternative Song 2,1.055999994,1.461333275,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/29/271em4hd6vmo/d55f15d8-5331-47f4-9389-f7dac39af709.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001745Z&X-Amz-Expires=604800&X-Amz-Signature=425d158b52e7556c74aba739c48a67c66f65afccbce8bccb552a8b401bbee151&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dd55f15d8-5331-47f4-9389-f7dac39af709.flac&x-id=GetObject,0.286377817,34078
CRam-2022-03-30_15-00.WAV,2022 Creed Road,2022,3,30,15,0,Agelaius tricolor,Alternative Song 2,42.94933319,43.35466766,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/30/271em4hd6vmo/9678f42a-22fd-46d5-855f-81476da14203.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001745Z&X-Amz-Expires=604800&X-Amz-Signature=391f35c7362251feadef21f1a95c4664ee94ee139e0adacf2112b95f9229c57e&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D9678f42a-22fd-46d5-855f-81476da14203.flac&x-id=GetObject,0.286604404,34078
CRam-2022-03-31_13-00.WAV,2022 Creed Road,2022,3,31,13,0,Agelaius tricolor,Alternative Song 2,15.27466679,15.68000031,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/03/31/271em4hd6vmo/7c2e2b8d-b721-4a8a-b64a-3a57172b3d16.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001745Z&X-Amz-Expires=604800&X-Amz-Signature=40547ad58fcd5989888c511031dd85982d91b98910d2c6f85c15282da40d7111&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D7c2e2b8d-b721-4a8a-b64a-3a57172b3d16.flac&x-id=GetObject,0.356784523,34078
CRam-2022-03-31_20-00.WAV,2022 Creed Road,2022,3,31,20,0,Agelaius tricolor,Alternative Song 2,4.800000191,5.205333233,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/01/271em4hd6vmo/bced9b1e-ad0c-4e1a-ae4a-ce0181100cfe.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001746Z&X-Amz-Expires=604800&X-Amz-Signature=d6bb6db27a2b1b49a0db6411c8e33222dabd6717953e9cdfe0e705d724ca0031&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dbced9b1e-ad0c-4e1a-ae4a-ce0181100cfe.flac&x-id=GetObject,0.217352942,34078
CRam-2022-04-01_11-00.WAV,2022 Creed Road,2022,4,1,11,0,Agelaius tricolor,Alternative Song 2,41.75466537,42.15999985,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/01/271em4hd6vmo/cd4f8e70-29a6-40d8-9ac2-5c18c4d984f9.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001746Z&X-Amz-Expires=604800&X-Amz-Signature=f8def43fddfbab97312e9c6bf8daac4212a77d983b9aff2487d75a5d96506c52&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dcd4f8e70-29a6-40d8-9ac2-5c18c4d984f9.flac&x-id=GetObject,0.287995577,34078
CRam-2022-04-02_10-40.WAV,2022 Creed Road,2022,4,2,10,40,Agelaius tricolor,Alternative Song 2,8.122666359,8.527999878,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/02/271em4hd6vmo/5137b288-f54e-4265-acf5-68621b8ef189.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001746Z&X-Amz-Expires=604800&X-Amz-Signature=6e458665cc1896df276ead42d0b9ef845e06e5c08ac5f8b98adee79e0f9dfc8b&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5137b288-f54e-4265-acf5-68621b8ef189.flac&x-id=GetObject,0.394853145,34078
CRam-2022-04-04_10-20.WAV,2022 Creed Road,2022,4,4,10,20,Agelaius tricolor,Alternative Song 2,25.52000046,25.92533302,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/04/271em4hd6vmo/ce7125a6-82ee-4d81-93a5-770b3082db80.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001746Z&X-Amz-Expires=604800&X-Amz-Signature=4ee5389caf31b35b59925ef9ab83ef02d8d59b8d9789fb6349e938181ca2a6d2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dce7125a6-82ee-4d81-93a5-770b3082db80.flac&x-id=GetObject,0.308661103,34078
CRam-2022-04-04_10-40.WAV,2022 Creed Road,2022,4,4,10,40,Agelaius tricolor,Alternative Song 2,22.69333267,23.09866714,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/04/04/271em4hd6vmo/89a56755-54de-471f-87e2-5049d34c4ce1.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T001746Z&X-Amz-Expires=604800&X-Amz-Signature=9cbe70e27cbbe1f2af72b0218962c055762c08a7f9357d0859903aceca691e79&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D89a56755-54de-471f-87e2-5049d34c4ce1.flac&x-id=GetObject,0.275629699,34078
