id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1092974505,PCP3am-2022-06-21_13-20.WAV,2022 Panoche Creek Preserve Loc3,2022,6,21,14,20,Pseudacris regilla,Common Song,28.6773,29.0827,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/21/xgmbqz85ifvo/0574a5f7-7b14-4668-905e-885b32842d41.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=QBr1WHZn0k%2BwztwiUsguS4oDi8I%3D,0.369244,52597
1092974506,PCP3am-2022-06-21_13-00.WAV,2022 Panoche Creek Preserve Loc3,2022,6,21,14,0,Pseudacris regilla,Common Song,54.352,54.7573,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/21/xgmbqz85ifvo/1927221f-43af-4ee2-a7e2-0265c247f523.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=TNWfJmC9fL2MWL1N7S64ePhi2n8%3D,0.308386,52597
1092974507,PCP3am-2022-06-21_08-20.WAV,2022 Panoche Creek Preserve Loc3,2022,6,21,9,20,Pseudacris regilla,Common Song,49.8987,50.304,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/21/xgmbqz85ifvo/ef9840a3-d94d-4a4c-a3ec-60c30d818164.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=2P5DvCrbbxz88jqs%2Bqa1JalvIfc%3D,0.375056,52597
1092974508,PCP3am-2022-06-21_11-40.WAV,2022 Panoche Creek Preserve Loc3,2022,6,21,12,40,Pseudacris regilla,Common Song,27.008,27.4133,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/21/xgmbqz85ifvo/79f5b80e-3598-430a-8efe-82b09da85a11.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=rbS8IhArmHnUt%2Fc1taDfjsjnrHE%3D,0.260859,52597
1092974509,PCP3am-2022-06-20_02-20.WAV,2022 Panoche Creek Preserve Loc3,2022,6,20,3,20,Pseudacris regilla,Common Song,9.44533,9.85067,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/20/xgmbqz85ifvo/e372986f-3280-40c7-8e47-135276da802b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=pGesgkdb5rDZkyhpdINcYuKGozg%3D,0.266375,52597
1092974510,PCP3am-2022-06-20_19-00.WAV,2022 Panoche Creek Preserve Loc3,2022,6,20,20,0,Pseudacris regilla,Common Song,6.26133,6.66667,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/21/xgmbqz85ifvo/be8f8dba-8ca0-41f5-9a1a-40692810ba70.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=wZgyXir2EUSG4T1nOD220yxzM0E%3D,0.277167,52597
1092974511,PCP3am-2022-06-19_09-40.WAV,2022 Panoche Creek Preserve Loc3,2022,6,19,10,40,Pseudacris regilla,Common Song,24.5707,24.976,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/19/xgmbqz85ifvo/138ece19-c5a6-405c-8ed7-e7cf866d4ebf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=XdBwqdzFU%2F1sQCKYwekwTWjjwaU%3D,0.281252,52597
1092974512,PCP3am-2022-06-20_09-00.WAV,2022 Panoche Creek Preserve Loc3,2022,6,20,10,0,Pseudacris regilla,Common Song,14.7627,15.168,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/20/xgmbqz85ifvo/1b18c37f-158f-4d36-b7a5-49fe9f1678ba.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=sHiZUirEULmpywCF%2Bdg7%2F%2BVpYxU%3D,0.425486,52597
1092974513,PCP3am-2022-06-17_04-20.WAV,2022 Panoche Creek Preserve Loc3,2022,6,17,5,20,Pseudacris regilla,Common Song,20.2453,20.6507,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/17/xgmbqz85ifvo/cc11a748-28bf-43ee-8b3c-ee590c4e58dc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=UvCzd07y3kMZ%2FfUaHFIftB0pj5k%3D,0.256177,52597
1092974514,PCP3am-2022-06-17_17-40.WAV,2022 Panoche Creek Preserve Loc3,2022,6,17,18,40,Pseudacris regilla,Common Song,57.504,57.9093,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/18/xgmbqz85ifvo/ab97e192-f998-4de2-8360-bf9e3e57ba24.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=bUrA%2Bd6Ugr%2BDYCLyM%2BFLRvgthG8%3D,0.232901,52597
1092974515,PCP3am-2022-06-14_23-00.WAV,2022 Panoche Creek Preserve Loc3,2022,6,15,0,0,Pseudacris regilla,Common Song,21.9093,22.3147,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/15/xgmbqz85ifvo/66c54824-7e3a-49eb-81bf-16b1223ca258.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=CkKXGH%2FApkt7TXm8be6gyKXlQqc%3D,0.214194,52597
1092974516,PCP3am-2022-06-18_07-00.WAV,2022 Panoche Creek Preserve Loc3,2022,6,18,8,0,Pseudacris regilla,Common Song,54.272,54.6773,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/18/xgmbqz85ifvo/85ffea25-cbcf-4d4e-b07a-09a0d5d6e34f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=1%2FHoVpopaHvMksWLJpI4bQyb3ak%3D,0.282764,52597
1092974517,PCP3am-2022-06-20_12-20.WAV,2022 Panoche Creek Preserve Loc3,2022,6,20,13,20,Pseudacris regilla,Common Song,4.34667,4.752,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/20/xgmbqz85ifvo/426d5d05-b0d4-4e79-966d-7ba3e17d0241.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=N%2BqnJIUIED3pGq9q0TM3kVQQAhw%3D,0.385339,52597
1092974518,PCP3am-2022-06-19_23-00.WAV,2022 Panoche Creek Preserve Loc3,2022,6,20,0,0,Pseudacris regilla,Common Song,44.0373,44.4427,1688,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/20/xgmbqz85ifvo/95b2c51a-8094-4f2c-b87b-9da3e5b2c617.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1767335142&Signature=9Ufj12nGSBfpfKsJYXvNyrwAnJU%3D,0.233634,52597
