id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1077689883,SJWAam-2022-06-24_18-40.WAV,2022 SJWA,2022,6,24,18,40,sp32,Simple Call,46.208,47.0453,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/cd58ef0d-77c6-4e55-b4c4-f88d21c18ffd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=BIX%2FtfTMSqVb2fLRSMoQgHx6WpU%3D,0.203403,34046
1077689884,SJWAam-2022-06-24_18-20.WAV,2022 SJWA,2022,6,24,18,20,sp32,Simple Call,44.8693,45.7067,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/abfd90fc-4e28-4cec-b883-57b3bbab884a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=NilDyYps0uvCTQ3Yv6udU4ZT1QY%3D,0.229553,34046
1077689885,SJWAam-2022-06-25_07-40.WAV,2022 SJWA,2022,6,25,7,40,sp32,Simple Call,0.704,1.54133,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/d230eba6-1ecb-4e29-9556-d93f30d21a17.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=9jG5qWh97HY3Gv5sVa2hDQvSM%2FA%3D,0.262931,34046
1077689886,SJWAam-2022-06-25_05-20.WAV,2022 SJWA,2022,6,25,5,20,sp32,Simple Call,52.9867,53.824,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/df3ae06c-d8e2-414f-bd62-6fc3a5cf667f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=egqQYzyWRwpiwDmvkJp1RbA7X9c%3D,0.217573,34046
1077689887,SJWAam-2022-06-25_02-00.WAV,2022 SJWA,2022,6,25,2,0,sp32,Simple Call,4.05333,4.89067,2906,6188,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/20b937fa-f602-466e-bc4c-d6eda79c13dc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=75i11Rc%2F01nFkS9Haax2aMQc11U%3D,0.244323,34046
1077689888,SJWAam-2022-06-25_00-20.WAV,2022 SJWA,2022,6,25,0,20,sp32,Simple Call,38.1493,38.9867,2906,6188,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/694cc957-3e88-438f-a2ee-62de04330558.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=tVB5532f24NNZ%2BamJgrmN4OcgqY%3D,0.252224,34046
1077689889,SJWAam-2022-06-25_09-00.WAV,2022 SJWA,2022,6,25,9,0,sp32,Simple Call,45.0667,45.904,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/c4fe920f-9e93-4ff3-b970-ae47b8180e0a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=Zb7qtcD7ZbF2f9Rxs6EsrTdQ4HM%3D,0.228391,34046
1077689890,SJWAam-2022-06-24_11-40.WAV,2022 SJWA,2022,6,24,11,40,sp32,Simple Call,17.632,18.4693,2906,6188,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/24/lpivpw5nwmne/60cde400-b51c-4764-8ad9-6c497152b001.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=ysYCLxPT%2BfdsA%2FUpwsvy%2B7l4%2B2g%3D,0.226028,34046
1077689891,SJWAam-2022-06-24_12-20.WAV,2022 SJWA,2022,6,24,12,20,sp32,Simple Call,56.3093,57.1467,2906,6188,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/24/lpivpw5nwmne/e11796a4-03ec-499a-9301-92a9ae202ea5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=oSr7YKGsYWNyEbcOD5%2BZmYAt7J4%3D,0.304018,34046
1077689892,SJWAam-2022-06-25_06-40.WAV,2022 SJWA,2022,6,25,6,40,sp32,Simple Call,4.18133,5.01867,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/d28f27aa-4fd8-402a-a1bf-fd5fa627cbeb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765178253&Signature=vOWt4wEe9Ni6MKCBRVy44UN6qbQ%3D,0.217279,34046
