id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
335549478,SJWAam-2022-06-25_14-00.WAV,2022 SJWA,2022,6,25,14,0,Agelaius tricolor,Common Song,43.5787,45.0613,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/bafed0a6-ef63-4d9a-85d6-7572ef1c9236.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=DDONeBGX1EbUY5r6r1pEoHn0DG0%3D,0.212919,34046
335549479,SJWAam-2022-06-25_07-20.WAV,2022 SJWA,2022,6,25,7,20,Agelaius tricolor,Common Song,40.9493,42.432,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/068229a1-172a-4a62-a9a9-f693a2fc6dda.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=tQs%2BSh%2Bqw36rPkMBYLJr%2FoCDhXE%3D,0.22011,34046
335549480,SJWAam-2022-06-25_10-20.WAV,2022 SJWA,2022,6,25,10,20,Agelaius tricolor,Common Song,1.63733,3.12,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/e6ee86a8-b1d7-46fc-91be-0b824c4c76a6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=%2Bz3LFVdv9bHMwH1b4PCj7qxCV00%3D,0.27239,34046
335549481,SJWAam-2022-06-25_08-00.WAV,2022 SJWA,2022,6,25,8,0,Agelaius tricolor,Common Song,12.6133,14.096,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/16dfa055-4b08-4461-918a-cd66d6cfa0d5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=AufPml%2FBlsG3dZog%2BfP3w2HmGzg%3D,0.268468,34046
335549482,SJWAam-2022-06-24_19-20.WAV,2022 SJWA,2022,6,24,19,20,Agelaius tricolor,Common Song,1.61067,3.09333,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/7e11d457-3c8f-44f2-86a3-e09e322af37b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=IRVxCjR7SwuH17wVbpcW00qrYNc%3D,0.210417,34046
335549483,SJWAam-2022-06-25_08-20.WAV,2022 SJWA,2022,6,25,8,20,Agelaius tricolor,Common Song,46.4853,47.968,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/77212cb0-9fbc-41c6-a974-a06cbfb3287e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=DJygpPtYJKqk5%2BkKfMOHhK3lcBs%3D,0.218363,34046
335549484,SJWAam-2022-06-25_16-00.WAV,2022 SJWA,2022,6,25,16,0,Agelaius tricolor,Common Song,23.4133,24.896,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/35a47204-6028-4d57-9e03-7f1ac2dae621.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=LKxrBKoJyWmotfHv%2B0aeX1fJcEg%3D,0.200215,34046
335549485,SJWAam-2022-06-25_16-20.WAV,2022 SJWA,2022,6,25,16,20,Agelaius tricolor,Common Song,40.064,41.5467,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/1aface6f-c823-4dfa-89c1-182fff2511f8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=URLGwUUKUd9%2FZ0iEUU3BamrqtBo%3D,0.252247,34046
335549486,SJWAam-2022-06-25_20-40.WAV,2022 SJWA,2022,6,25,20,40,Agelaius tricolor,Common Song,19.9627,21.4453,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/533880e7-f79b-4080-8300-935eb8b52807.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=9Fqnf3%2Fja%2BUSGbo69nOI6t2fK34%3D,0.275877,34046
335549487,SJWAam-2022-06-26_02-40.WAV,2022 SJWA,2022,6,26,2,40,Agelaius tricolor,Common Song,56.8107,58.2933,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/fbaebacf-0f32-4677-aea4-47712e3e4380.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=zl97ABo76Xs8Umjm5HiQyfg9MDo%3D,0.268832,34046
335549488,SJWAam-2022-06-26_00-20.WAV,2022 SJWA,2022,6,26,0,20,Agelaius tricolor,Common Song,22.368,23.8507,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/f3e0c4c7-9940-4ff8-9cfe-4a7ead6b31f0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=MWASfkqV99tOzkwqIgGFIzQqFUA%3D,0.2671,34046
335549489,SJWAam-2022-06-26_08-00.WAV,2022 SJWA,2022,6,26,8,0,Agelaius tricolor,Common Song,53.7387,55.2213,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/2c6f70d6-7e47-4599-ae2f-315763f5d9b3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=qQBC1%2BeptuO6Tb%2Bpjnt%2FZdAFtpc%3D,0.326304,34046
335549490,SJWAam-2022-06-25_23-00.WAV,2022 SJWA,2022,6,25,23,0,Agelaius tricolor,Common Song,12.432,13.9147,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/d737462e-32f0-44cf-a6e4-73d6042a47dd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=0fCHspyIOE5NHYeb1z7ydbzBNko%3D,0.234488,34046
335549491,SJWAam-2022-06-26_01-00.WAV,2022 SJWA,2022,6,26,1,0,Agelaius tricolor,Common Song,34.672,36.1547,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/bd6939f9-2f06-4ff1-bb13-0cadbe8284c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=OwT2etBF9gX%2Bk0n2%2Fz0ruQdI6Ww%3D,0.225319,34046
335549492,SJWAam-2022-06-25_17-40.WAV,2022 SJWA,2022,6,25,17,40,Agelaius tricolor,Common Song,55.9147,57.3973,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/fd82b240-f3f7-46df-a03b-c13d4ba4a38d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=OHLulK49VTQz%2Bwyp3WZmjApfDuQ%3D,0.203719,34046
335549493,SJWAam-2022-06-25_11-20.WAV,2022 SJWA,2022,6,25,11,20,Agelaius tricolor,Common Song,14.624,16.1067,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/cbe89f97-229f-4d7a-baeb-9d7ed0ac6101.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=gFJK61tYCBDJfNYaFVnw%2F1PV0bM%3D,0.208349,34046
335549494,SJWAam-2022-06-26_03-00.WAV,2022 SJWA,2022,6,26,3,0,Agelaius tricolor,Common Song,52.2667,53.7493,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/8647e968-c2b1-4754-991d-b5b444b20344.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=XIJWWqnHdLfE4PfSlmyRGP3s8nM%3D,0.20871,34046
335549495,SJWAam-2022-06-25_15-40.WAV,2022 SJWA,2022,6,25,15,40,Agelaius tricolor,Common Song,44.528,46.0107,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/25/lpivpw5nwmne/ae9a03a5-2ebf-4e4d-9bd3-4478cb47942d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=Zde0vCyuY1Y8OlXYceBhPO1ALZM%3D,0.200766,34046
335549496,SJWAam-2022-06-25_22-20.WAV,2022 SJWA,2022,6,25,22,20,Agelaius tricolor,Common Song,56.608,58.0907,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/be9fbf5e-f3e5-4cd5-8355-2f638759d932.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=hlvjofW1m3NybwNthuzQx67xN7I%3D,0.245079,34046
335549497,SJWAam-2022-06-25_19-00.WAV,2022 SJWA,2022,6,25,19,0,Agelaius tricolor,Common Song,48.608,50.0907,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/664a3590-2981-4ffe-b560-85f0a64ccd96.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=gYIvluzLkP%2B%2B3HGj2pFvJFXjzi8%3D,0.222065,34046
335549498,SJWAam-2022-06-25_23-20.WAV,2022 SJWA,2022,6,25,23,20,Agelaius tricolor,Common Song,24.9227,26.4053,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/d81104bf-0bc1-484c-9013-851e1027c6a8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=D%2BA57Tw4c%2BOZGX2rk06aJ23QNDM%3D,0.213609,34046
335549499,SJWAam-2022-06-25_21-20.WAV,2022 SJWA,2022,6,25,21,20,Agelaius tricolor,Common Song,1.38667,2.86933,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/63a8c389-14ad-48e7-8aa1-91e5fd1baf6d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=9v14OmmHzWxBXzmZ43pCpy3zZgU%3D,0.227553,34046
335549500,SJWAam-2022-06-26_11-00.WAV,2022 SJWA,2022,6,26,11,0,Agelaius tricolor,Common Song,27.6853,29.168,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/4bec1fcd-f59f-449b-b6b4-3798d9682fa2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=UYEJb3bj3rTWIEvkficL6Pa2IEk%3D,0.336522,34046
335549501,SJWAam-2022-06-26_14-00.WAV,2022 SJWA,2022,6,26,14,0,Agelaius tricolor,Common Song,12.848,14.3307,938,3562,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/26/lpivpw5nwmne/8eedd0de-13d3-4122-9c22-9ac8578a0322.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768136193&Signature=g69NuxKU0FGSxgH%2BbSJn31KaYWo%3D,0.203131,34046
