id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
595288020,RCRam-2023-04-15_12-00.WAV,2023 Baja Rancho Cinega,2023,4,15,13,0,Agelaius tricolor,Alternative Song 2,25.328,25.7333,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/fd559e8a-a13b-4004-a585-a6ef39fdcd6c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=ecFrUyVLHkHUJ5%2FjG67eaqxN9Pk%3D,0.239204,48395
595288021,RCRam-2023-04-15_10-40.WAV,2023 Baja Rancho Cinega,2023,4,15,11,40,Agelaius tricolor,Alternative Song 2,10.5173,10.9227,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/53080039-6287-4319-86fc-c92dedf4be44.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=kdPElmSpW02cV%2FcGvESaSuWnfaA%3D,0.219523,48395
595288022,RCRam-2023-04-15_14-00.WAV,2023 Baja Rancho Cinega,2023,4,15,15,0,Agelaius tricolor,Alternative Song 2,54.8053,55.2107,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/86a6f605-716c-49e6-923c-a96391a82aac.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=FjOVG9VhJ%2FhosA%2F3nbSwNa0VXL0%3D,0.240991,48395
595288023,RCRam-2023-04-15_13-40.WAV,2023 Baja Rancho Cinega,2023,4,15,14,40,Agelaius tricolor,Alternative Song 2,42.176,42.5813,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/e3962c68-230d-49a4-9a67-d652e193f4db.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=BN%2FRgCueEVLF8CipMuqE9VrMGko%3D,0.216031,48395
595288024,RCRam-2023-04-15_09-40.WAV,2023 Baja Rancho Cinega,2023,4,15,10,40,Agelaius tricolor,Alternative Song 2,23.8187,24.224,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/e6a01673-ab75-414c-b672-ed7bb15a1b95.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=od%2FWJiSvFEjNsXlydWRzLaGU3Ss%3D,0.251423,48395
595288025,RCRam-2023-04-15_11-00.WAV,2023 Baja Rancho Cinega,2023,4,15,12,0,Agelaius tricolor,Alternative Song 2,14.16,14.5653,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/6c48fed4-66a3-4360-94c0-e00cfc88542e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=ARb5c2ka73uNppIucTpyAwAATbY%3D,0.253404,48395
595288026,RCRam-2023-04-15_07-40.WAV,2023 Baja Rancho Cinega,2023,4,15,8,40,Agelaius tricolor,Alternative Song 2,40.896,41.3013,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/4ed1fb99-e1d4-46fe-8097-661ebf4a0712.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=wz6mK4gx5spNBlMeMMdMgSnQdhY%3D,0.211322,48395
595288027,RCRam-2023-04-14_17-20.WAV,2023 Baja Rancho Cinega,2023,4,14,18,20,Agelaius tricolor,Alternative Song 2,57.5893,57.9947,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/0335098d-844a-41ec-b2c4-9b9ba9630ff2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=bZiccKx986Mwz5STlrmdOoJlZa4%3D,0.22768,48395
595288028,RCRam-2023-04-14_14-40.WAV,2023 Baja Rancho Cinega,2023,4,14,15,40,Agelaius tricolor,Alternative Song 2,20.32,20.7253,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/14/lyb1egu9g1dx/c057811a-0409-4a1a-826e-d312747733f4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=frRJnDDe7F8pbNZY3XAI%2FPglcDI%3D,0.237685,48395
595288029,RCRam-2023-04-14_17-40.WAV,2023 Baja Rancho Cinega,2023,4,14,18,40,Agelaius tricolor,Alternative Song 2,40.8533,41.2587,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/8a376a4d-eacd-4218-9065-2de6ed82829b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744084760&Signature=t3VdCwJFapvFgWcosVVXSaD2idQ%3D,0.32381,48395
