id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
698281837,RCRam-2023-04-14_18-40.WAV,2023 Baja Rancho Cinega,2023,4,14,19,40,sp11,Simple Call,16.288,17.0347,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/6463f59e-c510-41fc-9a35-07a320c97411.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=f31bqZ3bcmvFdfpkTgfUbFkudAQ%3D,0.210487,48395
698281838,RCRam-2023-04-14_17-40.WAV,2023 Baja Rancho Cinega,2023,4,14,18,40,sp11,Simple Call,31.552,32.2987,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/15/lyb1egu9g1dx/8a376a4d-eacd-4218-9065-2de6ed82829b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=Kkr%2BFx3BK578ncZPolLMGoj27C0%3D,0.227012,48395
698281839,RCRam-2023-04-14_13-16.WAV,2023 Baja Rancho Cinega,2023,4,14,14,16,sp11,Simple Call,16.7733,17.52,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/14/lyb1egu9g1dx/1ed7033a-ce7d-4108-aa8b-27ea22c0a5d1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=EftEDbe77aW1uccO53h7I%2BwpiGo%3D,0.226039,48395
698281840,RCRam-2023-03-07_17-40.WAV,2023 Baja Rancho Cinega,2023,3,7,17,40,sp11,Simple Call,16.176,16.9227,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/08/lyb1egu9g1dx/8f257449-0a75-489c-86f8-9b522ed8df85.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=zE%2BAirCR6Jm4EcGDpCfCRHfXZiM%3D,0.219624,48395
698281841,RCRam-2023-04-14_15-40.WAV,2023 Baja Rancho Cinega,2023,4,14,16,40,sp11,Simple Call,20.064,20.8107,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/14/lyb1egu9g1dx/346d475b-6279-4cd2-bef3-b97e5efc2db7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=1KQwmXMrDeUvzeiFIDzBiWj4cVU%3D,0.225096,48395
698281842,RCRam-2023-04-14_13-20.WAV,2023 Baja Rancho Cinega,2023,4,14,14,20,sp11,Simple Call,7.78133,8.528,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/14/lyb1egu9g1dx/a8348616-09e2-4282-b323-ef0ef11cd335.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=cTCoeUzw9zxzobp4ELFIAeMbMZE%3D,0.269303,48395
698281843,RCRam-2023-04-22_07-20.WAV,2023 Baja Rancho Cinega,2023,4,22,8,20,sp11,Simple Call,17.1307,17.8773,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/22/lyb1egu9g1dx/e77aa467-ac3a-45f1-8672-a622ad116db9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=RI2kZXV%2FYMx%2FnFtU3Y9kT8e4nDc%3D,0.207845,48395
698282261,RCRam-2023-07-05_06-20.WAV,2023 Baja Rancho Cinega,2023,7,5,7,20,sp11,Simple Call,14.704,15.4507,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/lyb1egu9g1dx/d555b2c2-09de-4205-85d1-f50d8eea01a4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=ZqZcrG3KyI27rb6RzymAmSVRTbI%3D,0.287859,48395
698282262,RCRam-2023-07-03_06-40.WAV,2023 Baja Rancho Cinega,2023,7,3,7,40,sp11,Simple Call,10.192,10.9387,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/03/lyb1egu9g1dx/af5d2f9d-d78c-4fb4-ae71-c5d4fe60174e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=d9lhgJb2936h%2BHAdA8Cvvm4hU3Y%3D,0.211179,48395
698282263,RCRam-2023-07-02_12-40.WAV,2023 Baja Rancho Cinega,2023,7,2,13,40,sp11,Simple Call,44.8373,45.584,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/02/lyb1egu9g1dx/bb925ff5-af71-4157-ba6c-35378781dedc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=atA1Dn6%2F3980ut2nYixANRkcJYU%3D,0.209058,48395
698282264,RCRam-2023-07-03_07-20.WAV,2023 Baja Rancho Cinega,2023,7,3,8,20,sp11,Simple Call,13.3707,14.1173,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/03/lyb1egu9g1dx/1eb4f01b-f0a9-43fe-9a6e-1b1f437b1ae8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=%2B%2BJ%2BDOga%2BgLcZ098NBT953EFIQg%3D,0.204429,48395
698282265,RCRam-2023-07-02_11-20.WAV,2023 Baja Rancho Cinega,2023,7,2,12,20,sp11,Simple Call,24.2027,24.9493,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/02/lyb1egu9g1dx/8ee12e18-6135-4988-a303-9bf8f901cc23.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=WroTyFg6kbqUHulMrt3xVWgM1pU%3D,0.221138,48395
698282266,RCRam-2023-07-02_10-40.WAV,2023 Baja Rancho Cinega,2023,7,2,11,40,sp11,Simple Call,55.1307,55.8773,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/02/lyb1egu9g1dx/2381902a-4514-4dfc-99db-83dc16654fa3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=2yE9G7p2tuPG5GcyCtytAXaOpKw%3D,0.206917,48395
698282267,RCRam-2023-07-02_08-20.WAV,2023 Baja Rancho Cinega,2023,7,2,9,20,sp11,Simple Call,49.072,49.8187,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/02/lyb1egu9g1dx/dcd27f28-67e9-4078-b713-fb6d6507bd99.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=TIoNrK27JLVYn9k%2Bm0YUmoGMhl4%3D,0.21632,48395
698282268,RCRam-2023-07-02_07-20.WAV,2023 Baja Rancho Cinega,2023,7,2,8,20,sp11,Simple Call,56.3253,57.072,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/02/lyb1egu9g1dx/c7cdd1fe-24ba-42ae-b117-50003162aeb0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=bVZsyI5sEOm4DyauPi9cqBkRQVk%3D,0.243909,48395
698282269,RCRam-2023-07-02_06-40.WAV,2023 Baja Rancho Cinega,2023,7,2,7,40,sp11,Simple Call,13.2907,14.0373,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/02/lyb1egu9g1dx/30fc8ed4-553b-4b87-bd1c-28e645e30705.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=Sm0qpE62vN37IWXW2kLu1Y1anAQ%3D,0.219286,48395
698282270,RCRam-2023-07-02_07-00.WAV,2023 Baja Rancho Cinega,2023,7,2,8,0,sp11,Simple Call,57.872,58.6187,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/02/lyb1egu9g1dx/af5c97e7-b3c8-4fa7-9c3d-d32341c8d918.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=HldoX6YVSl5Cydc%2BHWP%2F9l5wCjs%3D,0.258336,48395
698282271,RCRam-2023-07-02_07-40.WAV,2023 Baja Rancho Cinega,2023,7,2,8,40,sp11,Simple Call,44.0853,44.832,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/02/lyb1egu9g1dx/65194de9-60a3-4628-98a1-34b4e1a0a863.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=kJnM93kGu5AKFqrpQgqkzSZ1YPs%3D,0.217109,48395
698282272,RCRam-2023-07-01_07-20.WAV,2023 Baja Rancho Cinega,2023,7,1,8,20,sp11,Simple Call,52.3947,53.1413,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/01/lyb1egu9g1dx/cab03e03-a95a-4490-b445-54879022f50e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=3wInhAJUHRFGKKabi1ws1r%2FGmKA%3D,0.260906,48395
698282273,RCRam-2023-07-01_06-20.WAV,2023 Baja Rancho Cinega,2023,7,1,7,20,sp11,Simple Call,4.49067,5.23733,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/01/lyb1egu9g1dx/c8e7d143-c0b6-42f2-9e3c-8433ceb368a2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=%2FY0xsT9Tve7gFVKRJJ9rl4hU68o%3D,0.216139,48395
698282274,RCRam-2023-07-21_10-00.WAV,2023 Baja Rancho Cinega,2023,7,21,11,0,sp11,Simple Call,41.7173,42.464,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/21/lyb1egu9g1dx/716b3454-2003-44ff-88bc-24136e602674.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=F1NAiBHn5SdGcblwceXRWrX2Pi0%3D,0.218716,48395
698282275,RCRam-2023-07-21_17-00.WAV,2023 Baja Rancho Cinega,2023,7,21,18,0,sp11,Simple Call,56.9067,57.6533,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/22/lyb1egu9g1dx/ac9d4173-6d64-45ea-ac68-504e8992ef11.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765162985&Signature=6sB0EUyKegq8BBUTND%2Buo7%2FL8FU%3D,0.208059,48395
