id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
805324409,CNWRT27.2am-2023-07-19_08-20.WAV,2023 Colusa NWR T27.2,2023,7,19,8,20,Agelaius tricolor,Simple Call 2,55.7973,56.192,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/19/8823omp944yx/aebc7e91-44c8-4fe1-9051-3eb70e343a13.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=jOFf6VmXIJ7Rmk7E%2BjA0JHIx%2Bq0%3D,0.445026,58629
805324410,CNWRT27.2am-2023-07-19_10-40.WAV,2023 Colusa NWR T27.2,2023,7,19,10,40,Agelaius tricolor,Simple Call 2,0.634667,1.02933,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/19/8823omp944yx/aaf04ff8-a8a5-4943-b821-454202bb59ac.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=xbudjFXCEy3xBSPcgR9KV3XEuJ0%3D,0.479837,58629
805324411,CNWRT27.2am-2023-07-19_07-20.WAV,2023 Colusa NWR T27.2,2023,7,19,7,20,Agelaius tricolor,Simple Call 2,57.28,57.6747,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/19/8823omp944yx/6aa916d4-265b-44d7-93d3-11838d507485.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=%2BjpvehbqlOYGgIJsuczn1t3N%2FPU%3D,0.505306,58629
805324412,CNWRT27.2am-2023-07-19_11-00.WAV,2023 Colusa NWR T27.2,2023,7,19,11,0,Agelaius tricolor,Simple Call 2,3.77067,4.16533,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/19/8823omp944yx/c1e6b22a-27cd-4816-b260-c60ec6aab4c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=OWKJvfh6CpBjN8VrMo8tlYpu3D0%3D,0.617712,58629
805324413,CNWRT27.2am-2023-07-18_14-20.WAV,2023 Colusa NWR T27.2,2023,7,18,14,20,Agelaius tricolor,Simple Call 2,30.16,30.5547,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/18/8823omp944yx/e261c310-c606-4e67-b45e-5366248a6307.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=rYcnntKdeWSKMiwNa9nAiosYs9E%3D,0.487935,58629
805324414,CNWRT27.2am-2023-07-18_20-20.WAV,2023 Colusa NWR T27.2,2023,7,18,20,20,Agelaius tricolor,Simple Call 2,25.6,25.9947,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/19/8823omp944yx/183e649e-929d-44d4-bca6-ca6ff6e0f7ec.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=SPp9A4MTaDDlLvHBFoMsuDBdyFI%3D,0.528104,58629
805324415,CNWRT27.2am-2023-07-20_08-20.WAV,2023 Colusa NWR T27.2,2023,7,20,8,20,Agelaius tricolor,Simple Call 2,56.48,56.8747,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/20/8823omp944yx/49cb7c70-49f5-447b-b0e8-9272f4d40a3a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=2n5PvhlgPyvRASWbGGuSCmKX2TE%3D,0.442631,58629
805324416,CNWRT27.2am-2023-07-19_06-00.WAV,2023 Colusa NWR T27.2,2023,7,19,6,0,Agelaius tricolor,Simple Call 2,48.8107,49.2053,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/19/8823omp944yx/5fafd05b-04b0-4e83-a2a3-f13fb5acd3f9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=oIcUm5lj43k6Vyac5VItRPGEUgc%3D,0.549837,58629
805324417,CNWRT27.2am-2023-07-20_07-00.WAV,2023 Colusa NWR T27.2,2023,7,20,7,0,Agelaius tricolor,Simple Call 2,2.34133,2.736,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/20/8823omp944yx/ae8b711e-fa21-419c-8d0e-1f7c21faa392.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=No2e8FCzuDWzJAOphQ2Mh5nppWs%3D,0.460134,58629
805324418,CNWRT27.2am-2023-07-20_09-20.WAV,2023 Colusa NWR T27.2,2023,7,20,9,20,Agelaius tricolor,Simple Call 2,23.648,24.0427,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/20/8823omp944yx/64f92f20-fe1d-43a6-8099-9c975e9cdf82.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764490726&Signature=soyZP%2B6b3JG0oEZDSWjv3nLCVHw%3D,0.44256,58629
