recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
CR.HQam-2023-06-13_12-00.WAV,2023 Conaway Ranch - HQ,2023,6,13,12,0,sp11,Simple Call,57.82933426,58.57600021,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/ukd6d6lafwds/56c86e46-5a5e-456c-8ce5-f6ce048b1b84.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=7c0447a4dee4bf5ab1a80e7b1d373f697d17ffbaf643d0d4939972b3b4dae203&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D56c86e46-5a5e-456c-8ce5-f6ce048b1b84.flac&x-id=GetObject,0.22248438,48473
CR.HQam-2023-06-13_14-20.WAV,2023 Conaway Ranch - HQ,2023,6,13,14,20,sp11,Simple Call,46.597332,47.34400177,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/ukd6d6lafwds/7222c39a-3a53-445a-92d2-91ae6a961d63.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=38e571a6b0e7b0679863633e6a4164845a2c1f4b0124d74968ce2684cf7401de&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D7222c39a-3a53-445a-92d2-91ae6a961d63.flac&x-id=GetObject,0.233744577,48473
CR.HQam-2023-06-14_08-20.WAV,2023 Conaway Ranch - HQ,2023,6,14,8,20,sp11,Simple Call,38.33066559,39.07733154,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/14/ukd6d6lafwds/3cee771a-a539-4f05-becc-9c23b3836767.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=7bb9668cf5e6cf4dfb1b654ec9f42c1b395776ce26f935cdf08ae81140695574&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D3cee771a-a539-4f05-becc-9c23b3836767.flac&x-id=GetObject,0.215935498,48473
CR.HQam-2023-06-14_10-20.WAV,2023 Conaway Ranch - HQ,2023,6,14,10,20,sp11,Simple Call,0.026666667,0.773333311,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/14/ukd6d6lafwds/9d5c3309-0412-4d5d-ad6e-aa6c002fdff3.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=9cd57fcc94d250691062b5917a318b6cd40b52a8428efa228b6216ee54d87367&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D9d5c3309-0412-4d5d-ad6e-aa6c002fdff3.flac&x-id=GetObject,0.255719751,48473
CR.HQam-2023-06-14_11-40.WAV,2023 Conaway Ranch - HQ,2023,6,14,11,40,sp11,Simple Call,2.60800004,3.35466671,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/14/ukd6d6lafwds/af422791-07c9-4574-818c-bb1e020111eb.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=97becbd441fedcb6206eb3faaa14184ada8c0b592abb07c707d3cc1756c5eadb&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Daf422791-07c9-4574-818c-bb1e020111eb.flac&x-id=GetObject,0.221436754,48473
CR.HQam-2023-06-14_14-20.WAV,2023 Conaway Ranch - HQ,2023,6,14,14,20,sp11,Simple Call,26.78933334,27.5359993,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/14/ukd6d6lafwds/29c21d28-681f-4025-b42f-a1962bb3b25c.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=16645a37b3bc97180ded076e5860b4901155a3568343481b07a29100ed40acf8&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D29c21d28-681f-4025-b42f-a1962bb3b25c.flac&x-id=GetObject,0.254236281,48473
CR.HQam-2023-06-14_15-40.WAV,2023 Conaway Ranch - HQ,2023,6,14,15,40,sp11,Simple Call,6.815999985,7.562666893,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/14/ukd6d6lafwds/f5603bc0-9548-43b0-8b2e-5d29a1f32dcf.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=2e27c6ef612d69ff94f710f6cab25556f90ce7d6c3959c08f0ea438cdae7e858&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Df5603bc0-9548-43b0-8b2e-5d29a1f32dcf.flac&x-id=GetObject,0.212041289,48473
CR.HQam-2023-06-14_17-20.WAV,2023 Conaway Ranch - HQ,2023,6,14,17,20,sp11,Simple Call,29.97866631,30.72533417,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/15/ukd6d6lafwds/be5a64ef-dbce-43b8-8e19-6015b805dc7d.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=e5e99e7b61c8510b20452fedb001ca4cca665107b6e90f963da744fb9a4a7726&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dbe5a64ef-dbce-43b8-8e19-6015b805dc7d.flac&x-id=GetObject,0.206340462,48473
CR.HQam-2023-06-14_17-40.WAV,2023 Conaway Ranch - HQ,2023,6,14,17,40,sp11,Simple Call,3.279999971,4.026666641,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/15/ukd6d6lafwds/cf17fafa-3895-4779-834b-9ad7098bcb3d.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=4163b09c776ea906611fc11cd0b3a48a191530473f5968910016642e8e35f88a&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dcf17fafa-3895-4779-834b-9ad7098bcb3d.flac&x-id=GetObject,0.234626427,48473
CR.HQam-2023-06-14_18-00.WAV,2023 Conaway Ranch - HQ,2023,6,14,18,0,sp11,Simple Call,28.80533409,29.55200005,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/15/ukd6d6lafwds/db13267d-80e3-4c83-b73f-4e5bdcd94bd2.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002656Z&X-Amz-Expires=604800&X-Amz-Signature=0ee231260f15486799aacaf395c3f1d1b21ef27eb708a28d2f0ebe0ff6fd6574&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Ddb13267d-80e3-4c83-b73f-4e5bdcd94bd2.flac&x-id=GetObject,0.220350057,48473
