id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
601168328,DNWRT6am-2023-03-07_17-40.WAV,2023 Delevan T6,2023,3,7,17,40,Agelaius tricolor,Alternative Song 2,38.2347,38.64,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/08/igxo98dehv0n/d8318948-638b-45f7-aa94-e9c98133f2db.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=vYhRzzno8RwuhbCa6L3ip6UF1bg%3D,0.239784,48472
601168329,DNWRT6am-2023-07-23_10-40.WAV,2023 Delevan T6,2023,7,23,11,40,Agelaius tricolor,Alternative Song 2,49.2747,49.68,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/23/igxo98dehv0n/532f59c7-5785-42d6-acb4-46fd7d3aebf6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=yywma65lZFK1tmMNcXqaobU9uM8%3D,0.287016,48472
601168330,DNWRT6am-2023-06-12_08-40.WAV,2023 Delevan T6,2023,6,12,9,40,Agelaius tricolor,Alternative Song 2,26.3253,26.7307,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/igxo98dehv0n/7269eb39-2438-4b41-856e-3a6f21edcba6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=%2FLoNcunGBo14e4vkB%2Fs9x3Mq68Y%3D,0.301586,48472
601168331,DNWRT6am-2023-06-12_08-20.WAV,2023 Delevan T6,2023,6,12,9,20,Agelaius tricolor,Alternative Song 2,11.5253,11.9307,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/igxo98dehv0n/915f3c8c-301b-437b-9b2c-9b703930779d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=%2FHNlM2Td6fY1lxFXP%2BLH9g7XY7s%3D,0.255562,48472
601168332,DNWRT6am-2023-06-20_20-40.WAV,2023 Delevan T6,2023,6,20,21,40,Agelaius tricolor,Alternative Song 2,15.0933,15.4987,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/21/igxo98dehv0n/6c6ec1ba-84ee-4858-8167-e533100353dd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=ZRg11X%2BvMphRQVqPM7x0R%2BOBmFk%3D,0.252533,48472
601168333,DNWRT6am-2023-06-26_07-20.WAV,2023 Delevan T6,2023,6,26,8,20,Agelaius tricolor,Alternative Song 2,1.06133,1.46667,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/26/igxo98dehv0n/558acf56-7725-470e-b724-9ea83ddabd17.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=fJUKut4VGTOmtar8J43Hvr8w89g%3D,0.303204,48472
601168334,DNWRT6am-2023-07-03_20-00.WAV,2023 Delevan T6,2023,7,3,21,0,Agelaius tricolor,Alternative Song 2,32.864,33.2693,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/04/igxo98dehv0n/89e6ba2a-e56f-4d50-a977-a21421894ee1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=4okAoIqVCjS95UXewtn5ITrVroA%3D,0.328113,48472
601168335,DNWRT6am-2023-07-10_07-20.WAV,2023 Delevan T6,2023,7,10,8,20,Agelaius tricolor,Alternative Song 2,38.304,38.7093,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/10/igxo98dehv0n/074fe0bd-3e71-4526-993a-832f5614bcc0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=plRPaJKealALVFDFyzTxF7i5ZnI%3D,0.237879,48472
601168336,DNWRT6am-2023-07-11_19-40.WAV,2023 Delevan T6,2023,7,11,20,40,Agelaius tricolor,Alternative Song 2,32.5013,32.9067,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/12/igxo98dehv0n/75055a31-a8a7-4fa6-81f4-88c1bee05f2e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=B%2BzfR6Emmyib%2BYbTo1Iv9y1LUtc%3D,0.378249,48472
601168337,DNWRT6am-2023-07-12_05-40.WAV,2023 Delevan T6,2023,7,12,6,40,Agelaius tricolor,Alternative Song 2,13.0133,13.4187,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/12/igxo98dehv0n/d2a9d7d1-93b0-4f2e-8063-0f69e4b79ba0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=oXAegmAlB79H3ikbvepyfhP9hek%3D,0.269689,48472
601168338,DNWRT6am-2023-06-26_14-40.WAV,2023 Delevan T6,2023,6,26,15,40,Agelaius tricolor,Alternative Song 2,11.008,11.4133,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/26/igxo98dehv0n/2000915e-a218-4556-b45b-96bd50987cb5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=WqIg%2FBk4bdw%2Fb8rEHxOsQZCYhHM%3D,0.248412,48472
601168339,DNWRT6am-2023-06-24_15-00.WAV,2023 Delevan T6,2023,6,24,16,0,Agelaius tricolor,Alternative Song 2,18.4053,18.8107,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/24/igxo98dehv0n/790e1941-ba97-4123-a0c3-3bd85d0513ac.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=VqiGwSdzcmt3YGae6llV6telsdg%3D,0.306897,48472
601168830,DNWRT6am-2023-07-05_06-40.WAV,2023 Delevan T6,2023,7,5,7,40,Agelaius tricolor,Alternative Song 2,49.4773,49.8827,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/2afadefd-744f-48aa-a0be-9decd332fdbc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=HadhbJ6Tlgaiajrtu3LspYhjsZk%3D,0.25168,48472
601168831,DNWRT6am-2023-07-01_18-20.WAV,2023 Delevan T6,2023,7,1,19,20,Agelaius tricolor,Alternative Song 2,13.6587,14.064,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/02/igxo98dehv0n/f1599ab3-3cb6-4229-b84e-cdc3f8e710a5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=Ojqx2UYqIGj5GqVB9pJtjh%2F06rk%3D,0.307046,48472
601168832,DNWRT6am-2023-07-05_07-00.WAV,2023 Delevan T6,2023,7,5,8,0,Agelaius tricolor,Alternative Song 2,37.4933,37.8987,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/023cdbf3-0307-4a7d-aba4-4d3bb7f221ba.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=XrEijHuXKVpC7Iaz3S2pUV9qxdI%3D,0.312477,48472
601168833,DNWRT6am-2023-07-06_07-40.WAV,2023 Delevan T6,2023,7,6,8,40,Agelaius tricolor,Alternative Song 2,11.3173,11.7227,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/06/igxo98dehv0n/6d150873-2dad-4a50-8b91-e6125d041427.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=x45qyMIFM7f3zCnrhCDQOPMuv3A%3D,0.271699,48472
601168834,DNWRT6am-2023-07-05_07-20.WAV,2023 Delevan T6,2023,7,5,8,20,Agelaius tricolor,Alternative Song 2,50.2453,50.6507,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/6aa95292-0f46-4fa7-821b-ec5288078f7c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=WTnf0%2BrATYfMmcPTr5jFGHiNe4w%3D,0.231588,48472
601168835,DNWRT6am-2023-07-04_12-40.WAV,2023 Delevan T6,2023,7,4,13,40,Agelaius tricolor,Alternative Song 2,56.5973,57.0027,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/04/igxo98dehv0n/a8c4511a-1df4-435d-8524-ac9fe62fed38.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=iljO9hiFIOJbKx4jp0u%2F%2BY7aATs%3D,0.293433,48472
601168836,DNWRT6am-2023-07-05_07-40.WAV,2023 Delevan T6,2023,7,5,8,40,Agelaius tricolor,Alternative Song 2,24.6293,25.0347,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/44d9bfe5-4f62-4642-adbb-e31df34e24be.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=3oAQxTEtDo%2B%2BLwlP3R0ouLw%2Fopo%3D,0.298176,48472
601168837,DNWRT6am-2023-07-06_07-20.WAV,2023 Delevan T6,2023,7,6,8,20,Agelaius tricolor,Alternative Song 2,53.0133,53.4187,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/06/igxo98dehv0n/d34f50ae-863b-4da3-a5fe-16e6e11e4bec.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=kBMZoEq%2FoBXhmFdnzhtM5fOQKLE%3D,0.338059,48472
601168838,DNWRT6am-2023-07-05_06-00.WAV,2023 Delevan T6,2023,7,5,7,0,Agelaius tricolor,Alternative Song 2,29.44,29.8453,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/916a43ee-bbfa-4683-8fd8-6ded9b8162f2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=qRFyzY1n7EWuWF8Mlb%2FxhOFoMNI%3D,0.337436,48472
601168839,DNWRT6am-2023-07-06_08-20.WAV,2023 Delevan T6,2023,7,6,9,20,Agelaius tricolor,Alternative Song 2,13.7067,14.112,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/06/igxo98dehv0n/845e938e-913c-4caa-9c71-06fbabd0c013.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=b4%2BJkUhleq1rxLgZ7DduEbmLwFM%3D,0.308186,48472
601168840,DNWRT6am-2023-07-05_09-00.WAV,2023 Delevan T6,2023,7,5,10,0,Agelaius tricolor,Alternative Song 2,34.208,34.6133,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/5201dc3e-ea47-44a2-8546-f5e76d8c2b4a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=LV1H4wZXFVxFkxb84e1bvRU3bGs%3D,0.313629,48472
601168841,DNWRT6am-2023-07-05_10-00.WAV,2023 Delevan T6,2023,7,5,11,0,Agelaius tricolor,Alternative Song 2,41.6267,42.032,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/8282a823-e173-4df9-afba-6806a544e255.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=e4%2B%2F9jtpGtMVCZMgZIer6jRBqZI%3D,0.235723,48472
601168842,DNWRT6am-2023-07-05_12-00.WAV,2023 Delevan T6,2023,7,5,13,0,Agelaius tricolor,Alternative Song 2,53.984,54.3893,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/3430b888-a65d-4cf0-bce2-f0b245b571a8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=XVNEJ4OdENJuhTfsW4YBGZmBBs0%3D,0.278276,48472
601168843,DNWRT6am-2023-07-05_10-20.WAV,2023 Delevan T6,2023,7,5,11,20,Agelaius tricolor,Alternative Song 2,8.53867,8.944,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/85c4950a-6f3b-40a4-ac6a-c91e01362c83.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=OBF9u8rEdD6u%2FpWwsV3%2FKJ3eavo%3D,0.407087,48472
601168844,DNWRT6am-2023-07-05_10-40.WAV,2023 Delevan T6,2023,7,5,11,40,Agelaius tricolor,Alternative Song 2,22.9333,23.3387,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/e100b041-ba47-4a1e-b04c-0e22435a341c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=7Gh7GYnmvIhHw1rprcPXUU%2FYv3w%3D,0.289584,48472
601168845,DNWRT6am-2023-07-03_17-40.WAV,2023 Delevan T6,2023,7,3,18,40,Agelaius tricolor,Alternative Song 2,43.936,44.3413,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/04/igxo98dehv0n/cd7b7726-3701-44cd-80e2-52b2d7837b3f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=YCA1zZW3%2FTNKXFdCxB7OTrTmUwQ%3D,0.286324,48472
601168846,DNWRT6am-2023-07-06_12-00.WAV,2023 Delevan T6,2023,7,6,13,0,Agelaius tricolor,Alternative Song 2,42.6187,43.024,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/06/igxo98dehv0n/60f187ac-bce4-43c1-9f63-0049bdb121a4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=Yfq7OUXie%2B2CtfBO1pbB1FxJkUQ%3D,0.276254,48472
601168847,DNWRT6am-2023-07-05_13-40.WAV,2023 Delevan T6,2023,7,5,14,40,Agelaius tricolor,Alternative Song 2,36.736,37.1413,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/6c25e894-bb4d-4c94-877c-ea831d130bdb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=BeodmcmTTMhKRy9Q5ClqHaNqRtI%3D,0.216257,48472
601168848,DNWRT6am-2023-07-05_15-20.WAV,2023 Delevan T6,2023,7,5,16,20,Agelaius tricolor,Alternative Song 2,3.44,3.84533,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/ec961ced-904b-4044-97b6-139f4ba177a8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=Sgdij248EeQ33mfqwcitsH1A5h0%3D,0.266621,48472
601168849,DNWRT6am-2023-07-03_17-00.WAV,2023 Delevan T6,2023,7,3,18,0,Agelaius tricolor,Alternative Song 2,10.0107,10.416,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/04/igxo98dehv0n/7dc7e0b1-dfa0-474c-8022-25fb7590ea71.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=boeHGHaHgE606xUdPd7WWTNZBLQ%3D,0.304619,48472
601168850,DNWRT6am-2023-07-06_12-20.WAV,2023 Delevan T6,2023,7,6,13,20,Agelaius tricolor,Alternative Song 2,30.336,30.7413,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/06/igxo98dehv0n/684f0c89-5e33-43b9-afef-67ab3eb19609.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=mBQJYTr9vZlny91xtq5k9xqZy1s%3D,0.317138,48472
601168851,DNWRT6am-2023-07-05_13-20.WAV,2023 Delevan T6,2023,7,5,14,20,Agelaius tricolor,Alternative Song 2,14.5867,14.992,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/05/igxo98dehv0n/e4c8671a-ed2f-4c05-8a60-57513834e5bc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=KDFSDhcrAQg4%2FMrkKpixByRBiEg%3D,0.335679,48472
601168852,DNWRT6am-2023-07-05_20-00.WAV,2023 Delevan T6,2023,7,5,21,0,Agelaius tricolor,Alternative Song 2,17.2053,17.6107,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/06/igxo98dehv0n/a3f6f820-e8b6-49c0-9e1e-ffcd68067aa2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=OrJnSlYOliXtL6vkVYjoXFBvy6Q%3D,0.23069,48472
601168853,DNWRT6am-2023-07-06_13-00.WAV,2023 Delevan T6,2023,7,6,14,0,Agelaius tricolor,Alternative Song 2,47.7813,48.1867,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/06/igxo98dehv0n/a3f93565-acbc-4dd7-94dd-92d972ae2479.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=u3wToXwHH%2BisF%2BNvzM%2BSxk7USyI%3D,0.24509,48472
601168854,DNWRT6am-2023-07-05_19-20.WAV,2023 Delevan T6,2023,7,5,20,20,Agelaius tricolor,Alternative Song 2,1.51467,1.92,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/06/igxo98dehv0n/a70d16b5-2a04-45e9-ac45-468aa2272977.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=NYUNa5kFdA77%2FxecfSozq6XXWz0%3D,0.346498,48472
601168855,DNWRT6am-2023-07-06_17-00.WAV,2023 Delevan T6,2023,7,6,18,0,Agelaius tricolor,Alternative Song 2,35.168,35.5733,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/07/igxo98dehv0n/a98a1b27-80c9-4d70-855f-44c3ceb0a872.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752787857&Signature=eeNBbbnfIEDQBJwZgkK2Ra3Pfpg%3D,0.209069,48472
