id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
601168253,DNWRT6am-2023-03-07_17-40.WAV,2023 Delevan T6,2023,3,7,17,40,Agelaius tricolor,Common Song,2.464,4.67733,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/08/igxo98dehv0n/d8318948-638b-45f7-aa94-e9c98133f2db.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=odI5huE4v6%2Bxxu5Juv4utCtRc60%3D,0.311311,48472
601168254,DNWRT6am-2023-07-11_19-40.WAV,2023 Delevan T6,2023,7,11,20,40,Agelaius tricolor,Common Song,52.352,54.5653,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/12/igxo98dehv0n/75055a31-a8a7-4fa6-81f4-88c1bee05f2e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=lDcbcY63J2EcyuJowwcUUFdKOa4%3D,0.345708,48472
601168255,DNWRT6am-2023-07-12_02-40.WAV,2023 Delevan T6,2023,7,12,3,40,Agelaius tricolor,Common Song,10.48,12.6933,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/12/igxo98dehv0n/fe5b92c6-c8e6-49ad-a13f-75aa0e8f70f9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=vI3qA2b7MqZkEwIRXCjwylAsmo4%3D,0.226592,48472
601168256,DNWRT6am-2023-07-12_05-40.WAV,2023 Delevan T6,2023,7,12,6,40,Agelaius tricolor,Common Song,6.59733,8.81067,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/12/igxo98dehv0n/d2a9d7d1-93b0-4f2e-8063-0f69e4b79ba0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=FHZ9XCrPJf1NR3iRwVwFXWmknBs%3D,0.212854,48472
601168257,DNWRT6am-2023-07-15_17-20.WAV,2023 Delevan T6,2023,7,15,18,20,Agelaius tricolor,Common Song,39.8027,42.016,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/16/igxo98dehv0n/6357fcb6-4840-474a-b7d0-78ec2effb10a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=ZdBOCFine6izHadbtpFoPMJHif8%3D,0.205875,48472
601168258,DNWRT6am-2023-06-25_12-20.WAV,2023 Delevan T6,2023,6,25,13,20,Agelaius tricolor,Common Song,57.7387,59.952,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/25/igxo98dehv0n/2a8b8928-e4f3-4afc-8762-fbf6cbf49ae2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=4nc7cYiLmR%2FL0P%2FBp8h%2FZG6MNUo%3D,0.282776,48472
601168259,DNWRT6am-2023-06-26_06-00.WAV,2023 Delevan T6,2023,6,26,7,0,Agelaius tricolor,Common Song,48.0427,50.256,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/26/igxo98dehv0n/75d1ab60-80b5-4652-b96c-6258c5b1c1a6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=5VRXg%2BaRBD%2B4JQ2P2FEchYpLr3k%3D,0.258508,48472
601168260,DNWRT6am-2023-06-26_10-40.WAV,2023 Delevan T6,2023,6,26,11,40,Agelaius tricolor,Common Song,31.3227,33.536,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/26/igxo98dehv0n/6c023663-fa0c-4422-b656-0e127cfef604.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=RIX0zbkdFTSo8YEO9u1se%2F6GFu0%3D,0.290351,48472
601168261,DNWRT6am-2023-06-27_11-20.WAV,2023 Delevan T6,2023,6,27,12,20,Agelaius tricolor,Common Song,48.6987,50.912,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/27/igxo98dehv0n/2a127675-579c-4925-ae66-703f7302a212.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=b1w51YWsnw0XjXbJidcwrG28otE%3D,0.222037,48472
601168262,DNWRT6am-2023-06-28_16-20.WAV,2023 Delevan T6,2023,6,28,17,20,Agelaius tricolor,Common Song,5.92533,8.13867,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/29/igxo98dehv0n/1e1358a0-1aba-46ac-9ec6-e1b4a860c562.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764492719&Signature=L%2FvX6MlCTBoP%2FJ1ZTowhL5HrpeY%3D,0.291939,48472
