id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
698313931,CER4am-2023-08-07_11-00.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,7,11,0,sp22,Simple Call,23.136,24.3413,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/07/r7oezq7tv0xt/8a7e272a-1d29-4cd4-9c74-89cc33e842a6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=oxJVQNBUpt6E8Oa3dlVcdcSkduo%3D,0.22162,48467
698313932,CER4am-2023-08-06_07-20.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,6,7,20,sp22,Simple Call,6.36267,7.568,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/06/r7oezq7tv0xt/17a6b6c8-5de0-4f79-ac99-3eb761b074c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=Wkf83Thgastj7XSJ7Y44hok3Uhg%3D,0.22158,48467
698313933,CER4am-2023-08-05_08-40.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,5,8,40,sp22,Simple Call,58.4267,59.632,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/05/r7oezq7tv0xt/88c58e14-9f55-439b-98d3-09d826ef06d5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=nP%2FlWftjCnQzOG15oQJ6JaISY%2BE%3D,0.200161,48467
698313934,CER4am-2023-08-05_08-00.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,5,8,0,sp22,Simple Call,16.3733,17.5787,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/05/r7oezq7tv0xt/8be9575f-02c1-4867-a238-3692b3462c61.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=hCtJAkuArCmHmd0SjKbPfNwiKHY%3D,0.206246,48467
698313935,CER4am-2023-08-04_15-00.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,4,15,0,sp22,Simple Call,57.552,58.7573,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/04/r7oezq7tv0xt/c297480a-ae41-476f-b823-f6702796bc1a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=nm%2FwnsVqMF%2FGKLhVImw2qQ3Nxd0%3D,0.205961,48467
698313936,CER4am-2023-08-10_16-20.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,10,16,20,sp22,Simple Call,28.8053,30.0107,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/10/r7oezq7tv0xt/6a1acdde-3cf2-4d8e-9140-6d2ce73ce385.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=sEhjJlf8Ssavd7ZN7VFbA1P1gtA%3D,0.221876,48467
698313937,CER4am-2023-08-10_12-00.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,10,12,0,sp22,Simple Call,14.608,15.8133,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/10/r7oezq7tv0xt/362ee32c-b7b7-4cc9-8b1e-75c4d4bef030.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=fn%2B5bzLBJ1hwT6%2FtGMm717u0E2I%3D,0.200246,48467
698313938,CER4am-2023-08-09_08-40.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,9,8,40,sp22,Simple Call,40.464,41.6693,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/09/r7oezq7tv0xt/85317984-30ae-4acf-b8b8-4bb066c51362.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=l3qiH09g5KL4707%2BHquE6bUzvWk%3D,0.22751,48467
698313939,CER4am-2023-08-10_13-40.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,10,13,40,sp22,Simple Call,35.904,37.1093,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/10/r7oezq7tv0xt/a922b714-0a13-46f4-b04f-675686921b82.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=1zJSLU399KVMZMovy0s5eouoPRs%3D,0.230009,48467
698313940,CER4am-2023-08-10_11-20.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,8,10,11,20,sp22,Simple Call,42.9493,44.1547,2625,7219,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/10/r7oezq7tv0xt/4c085978-d6da-42c6-aa37-e1f62d67f972.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765181796&Signature=TNO1EzxN%2FQcMei9tdt2aroaQgl4%3D,0.210468,48467
