id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
601883896,LVRam-2023-04-24_14-00.WAV,2023 Los Vaqueros Reservoir,2023,4,24,15,0,Agelaius tricolor,Alternative Song 2,0.0426667,0.448,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/24/n0pk68m0oavl/00c3702e-71e9-4f22-8180-712e6f698608.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=i0Uw0Duyq2G98OWg7SVICWEkqm8%3D,0.381462,48444
601883897,LVRam-2023-04-23_15-00.WAV,2023 Los Vaqueros Reservoir,2023,4,23,16,0,Agelaius tricolor,Alternative Song 2,51.2267,51.632,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/23/n0pk68m0oavl/c7cc5496-a781-4f8e-91d6-8b7a3545b445.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=rSkL9mELfLwkxNvxAmW9PUw8Lt8%3D,0.259133,48444
601883898,LVRam-2023-04-23_15-40.WAV,2023 Los Vaqueros Reservoir,2023,4,23,16,40,Agelaius tricolor,Alternative Song 2,10.352,10.7573,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/23/n0pk68m0oavl/1c67c1e7-18f6-4c25-8cdb-b2de901101a9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=vD2DhME%2BcG1vyyQLrpLul1FzNYI%3D,0.279042,48444
601906598,LVRam-2023-06-12_07-40.WAV,2023 Los Vaqueros Reservoir,2023,6,12,8,40,Agelaius tricolor,Alternative Song 2,10.72,11.1253,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/n0pk68m0oavl/0b8a5055-535d-4c4e-8bed-c57567c98c15.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=VfdXWHrgNOSu%2Fpdjly2q12Pd5%2BE%3D,0.277271,48444
601906599,LVRam-2023-06-12_08-00.WAV,2023 Los Vaqueros Reservoir,2023,6,12,9,0,Agelaius tricolor,Alternative Song 2,52.224,52.6293,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/n0pk68m0oavl/ab13a8a4-58bd-459f-a63a-2572b985a90d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=iFjMsrGMcAl9X8M%2FP7rkz5Q6VhE%3D,0.274031,48444
601906600,LVRam-2023-06-12_09-40.WAV,2023 Los Vaqueros Reservoir,2023,6,12,10,40,Agelaius tricolor,Alternative Song 2,57.6693,58.0747,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/n0pk68m0oavl/fbcb71c9-f39a-4868-a9e7-58041d00073f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=KQN42mv7TU9zSKs9Q7AWO3AV%2BY8%3D,0.286312,48444
601906601,LVRam-2023-06-12_10-20.WAV,2023 Los Vaqueros Reservoir,2023,6,12,11,20,Agelaius tricolor,Alternative Song 2,35.7067,36.112,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/n0pk68m0oavl/3a3bfeec-2be8-4286-9e9c-27f78e315001.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=bGKnjBydZzCslF6ywMybvO7FwAo%3D,0.276832,48444
601906602,LVRam-2023-06-12_11-20.WAV,2023 Los Vaqueros Reservoir,2023,6,12,12,20,Agelaius tricolor,Alternative Song 2,22.192,22.5973,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/n0pk68m0oavl/872dee93-8140-4405-9337-9027d05ad3d9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=Ewu%2BAnAgN7RyQydcgBsVK7CueTw%3D,0.274643,48444
601906603,LVRam-2023-06-12_13-00.WAV,2023 Los Vaqueros Reservoir,2023,6,12,14,0,Agelaius tricolor,Alternative Song 2,26.8,27.2053,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/n0pk68m0oavl/be5359e5-9342-47b9-8bca-56c3d3bf3d98.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=WxZhxRvBFtkRrKlI%2Bj%2Fhl%2FqH2o4%3D,0.283496,48444
601906604,LVRam-2023-06-12_14-20.WAV,2023 Los Vaqueros Reservoir,2023,6,12,15,20,Agelaius tricolor,Alternative Song 2,44.544,44.9493,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/n0pk68m0oavl/1e179fbb-4313-472c-9e9d-80d279458891.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=pleU9Ei4cmQYKNTfk1hq3O3hMNc%3D,0.301687,48444
601906605,LVRam-2023-06-12_15-20.WAV,2023 Los Vaqueros Reservoir,2023,6,12,16,20,Agelaius tricolor,Alternative Song 2,31.0027,31.408,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/n0pk68m0oavl/9c0575b8-483e-480d-9aaf-9a346b589e3a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=hQT6rTjnaVfk9GJDzfN3IwFTu%2Bc%3D,0.351054,48444
601906606,LVRam-2023-06-12_16-00.WAV,2023 Los Vaqueros Reservoir,2023,6,12,17,0,Agelaius tricolor,Alternative Song 2,30.1227,30.528,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/cf38763f-7811-403c-90ad-aaa67dd24460.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=JNAx3nM7WUWzhRyPEe7aKML%2Baqc%3D,0.331214,48444
601906607,LVRam-2023-06-12_15-40.WAV,2023 Los Vaqueros Reservoir,2023,6,12,16,40,Agelaius tricolor,Alternative Song 2,56.432,56.8373,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/12/n0pk68m0oavl/9c48ff3c-5fdc-4c26-9302-d1612bfa1d16.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=uGXIhpLZwGgUxddSylNDPYlF4wI%3D,0.342297,48444
601906608,LVRam-2023-06-12_16-20.WAV,2023 Los Vaqueros Reservoir,2023,6,12,17,20,Agelaius tricolor,Alternative Song 2,47.28,47.6853,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/dd307ada-672e-4d1a-8efb-d385bd04c93b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=DeJXM1Ftw%2FSJ%2FdgfdopKKf0M5Xg%3D,0.364997,48444
601906609,LVRam-2023-06-12_16-40.WAV,2023 Los Vaqueros Reservoir,2023,6,12,17,40,Agelaius tricolor,Alternative Song 2,20.3573,20.7627,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/8938e04c-1ca5-4886-842a-9797c24463c4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=RpFcdbee%2FYqDJ28q3JQLUaHsfNQ%3D,0.322665,48444
601906610,LVRam-2023-06-12_18-40.WAV,2023 Los Vaqueros Reservoir,2023,6,12,19,40,Agelaius tricolor,Alternative Song 2,44.016,44.4213,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/927130a9-5fd0-4b42-94ca-87ddf00c0c8a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=RbPFAc2d0z5iTAfo0Ajp3NGqQkw%3D,0.283524,48444
601906611,LVRam-2023-06-12_20-00.WAV,2023 Los Vaqueros Reservoir,2023,6,12,21,0,Agelaius tricolor,Alternative Song 2,41.7653,42.1707,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/ca05c511-d83f-48a8-be05-5104ec45f071.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=1vL%2FftvQVDXEq25WBNpVt4p0wrA%3D,0.285421,48444
601906612,LVRam-2023-06-12_20-20.WAV,2023 Los Vaqueros Reservoir,2023,6,12,21,20,Agelaius tricolor,Alternative Song 2,0.261333,0.666667,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/a7097565-0535-40cd-9834-5c151d8b17be.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=1WzQbYHe%2FBv8U6GG3G6zNC5RAIw%3D,0.29482,48444
601906613,LVRam-2023-06-13_06-00.WAV,2023 Los Vaqueros Reservoir,2023,6,13,7,0,Agelaius tricolor,Alternative Song 2,33.504,33.9093,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/3053ecb8-dd2b-4302-96ca-de2e5fbb3bac.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=fmMoKdZebcZ6GPr3J3%2BF%2B610wAA%3D,0.25581,48444
601906614,LVRam-2023-06-13_05-40.WAV,2023 Los Vaqueros Reservoir,2023,6,13,6,40,Agelaius tricolor,Alternative Song 2,4.544,4.94933,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/2efe3af1-11fe-4aa1-bb02-aa404f73d936.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=CdSLwSTNgrlNY%2Bu2lYRsk57L2Y4%3D,0.313655,48444
601906615,LVRam-2023-06-13_07-00.WAV,2023 Los Vaqueros Reservoir,2023,6,13,8,0,Agelaius tricolor,Alternative Song 2,50.0107,50.416,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/1f98dfae-6d11-4509-9a96-60f4aa73ce9d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=2sIgJFZ%2B6TkcfVUA%2FBDVy80za%2F8%3D,0.285414,48444
601906616,LVRam-2023-06-13_09-00.WAV,2023 Los Vaqueros Reservoir,2023,6,13,10,0,Agelaius tricolor,Alternative Song 2,41.0507,41.456,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/a661c4eb-05d7-438f-82f7-c3f24ceaa63d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=a5iTRsFix%2FMkAY7gQ1aTLHmq4LM%3D,0.348229,48444
601906617,LVRam-2023-06-13_11-20.WAV,2023 Los Vaqueros Reservoir,2023,6,13,12,20,Agelaius tricolor,Alternative Song 2,49.7973,50.2027,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/7284a89e-56d0-48cf-9957-42ab6d76f15e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=GP7p37u%2F353g46UBwNnIlGpmWOw%3D,0.347357,48444
601906618,LVRam-2023-06-13_10-20.WAV,2023 Los Vaqueros Reservoir,2023,6,13,11,20,Agelaius tricolor,Alternative Song 2,42.336,42.7413,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/6ec7ba95-4932-41e5-8d28-0e2519533b3d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=eDkUXkSYL0H5TTAjkypnX4Q709U%3D,0.298359,48444
601906619,LVRam-2023-06-13_12-40.WAV,2023 Los Vaqueros Reservoir,2023,6,13,13,40,Agelaius tricolor,Alternative Song 2,37.888,38.2933,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/f35713b0-0142-4443-8496-40edd684c74e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=RbixGj8zeqwvhUYvoG8n63PXKRo%3D,0.309368,48444
601906620,LVRam-2023-06-13_12-20.WAV,2023 Los Vaqueros Reservoir,2023,6,13,13,20,Agelaius tricolor,Alternative Song 2,19.8827,20.288,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/aa72717e-4c54-4a2d-bf5e-de0e044ceeba.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=ewLL2E8vK1xzM83sQC6pU5u63r8%3D,0.363996,48444
601906621,LVRam-2023-06-13_13-40.WAV,2023 Los Vaqueros Reservoir,2023,6,13,14,40,Agelaius tricolor,Alternative Song 2,30.512,30.9173,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/54945951-5ab9-47a9-ad46-41a47946a42e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=peWOO3WhJX0zWIiL%2F0027yhusdA%3D,0.36396,48444
601906622,LVRam-2023-06-13_15-20.WAV,2023 Los Vaqueros Reservoir,2023,6,13,16,20,Agelaius tricolor,Alternative Song 2,52.1387,52.544,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/13/n0pk68m0oavl/424cf5fb-bf05-491f-9848-f3405c6b87ca.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=LWMzJekDKPr96JYbhhbs7WobgQU%3D,0.314541,48444
601906623,LVRam-2023-06-13_16-20.WAV,2023 Los Vaqueros Reservoir,2023,6,13,17,20,Agelaius tricolor,Alternative Song 2,36.144,36.5493,656,7406,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/14/n0pk68m0oavl/1f19f88a-420c-4e36-b146-ff04d0435f5f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768613683&Signature=DkNxz%2FqDF38MGO5T0bFqCiwUGuE%3D,0.325085,48444
