id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
988011238,MRam-2023-05-16_17-00.WAV,2023 Markham Ravine B,2023,5,16,17,0,sp30,Simple Call,56.1867,57.104,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/17/z5e2spffh5ws/4ebeadea-4e00-43b6-9444-9805e2a53326.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=R%2Fs5xGG0QMBIE9s8%2Frw46cmILbo%3D,0.20032,48436
988011239,MRam-2023-05-15_19-20.WAV,2023 Markham Ravine B,2023,5,15,19,20,sp30,Simple Call,29.3653,30.2827,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/3e74fef2-5761-424e-a24c-17c357871a2b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=GTzVkNnRIooEJ7MP%2FeWIhtq6x%2BQ%3D,0.296066,48436
988011539,MRam-2023-06-23_11-40.WAV,2023 Markham Ravine B,2023,6,23,11,40,sp30,Simple Call,26.464,27.3813,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/23/z5e2spffh5ws/98ceb14c-2ce4-474f-a0d5-dee1f6cc69ff.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=%2FNXjBUb16PhWCJP1JutLL4ED3Es%3D,0.205091,48436
988011555,MRam-2023-06-17_23-20.WAV,2023 Markham Ravine B,2023,6,17,23,20,sp30,Simple Call,18.8053,19.7227,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/18/z5e2spffh5ws/a1aed186-b41f-467b-8d18-c154dc1db863.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=DTuGu6Ff9gTyvC48pZWRA4HrjiI%3D,0.204886,48436
988011556,MRam-2023-06-17_03-00.WAV,2023 Markham Ravine B,2023,6,17,3,0,sp30,Simple Call,55.5627,56.48,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/z5e2spffh5ws/d3a17f23-d4e7-4447-87b1-84e6f694891b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=CQ%2BbGsNim8p5FpjV6V6p7pMWqbU%3D,0.211462,48436
988011557,MRam-2023-06-17_21-40.WAV,2023 Markham Ravine B,2023,6,17,21,40,sp30,Simple Call,37.888,38.8053,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/18/z5e2spffh5ws/2f85857a-7cf5-4e55-af9e-b897da3341d7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=MyPBouv2s%2BzP6Ik14pfJkTMiC%2B0%3D,0.253178,48436
988011558,MRam-2023-06-16_03-20.WAV,2023 Markham Ravine B,2023,6,16,3,20,sp30,Simple Call,53.2907,54.208,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/16/z5e2spffh5ws/19df6102-dc87-43f5-9502-e4a2ee6b31bb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=I8rCjh%2FRuycJZUEqbRlJAzBXf%2Bk%3D,0.294864,48436
988011559,MRam-2023-06-16_23-40.WAV,2023 Markham Ravine B,2023,6,16,23,40,sp30,Simple Call,5.328,6.24533,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/z5e2spffh5ws/cf353fb0-9cc4-4390-b34e-aa18b6214252.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=OLV2dtJHb44MCq6ldcfx6hLu4mM%3D,0.223312,48436
988011637,MRam-2023-07-10_06-00.WAV,2023 Markham Ravine B,2023,7,10,6,0,sp30,Simple Call,4.224,5.14133,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/10/z5e2spffh5ws/afa60dfc-f909-4d74-8855-0b9a0f802733.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=a0bDGEwYaMUqBVQUGNatlFEXx%2BE%3D,0.201909,48436
988011638,MRam-2023-07-10_10-40.WAV,2023 Markham Ravine B,2023,7,10,10,40,sp30,Simple Call,40.9227,41.84,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/10/z5e2spffh5ws/97df4782-07fe-4bba-8c66-7de6bcb7161f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=w0leGLAHA7omNSPe0qDasVQ1Nmk%3D,0.259442,48436
988011639,MRam-2023-07-09_06-20.WAV,2023 Markham Ravine B,2023,7,9,6,20,sp30,Simple Call,43.168,44.0853,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/09/z5e2spffh5ws/452f9637-df3b-41be-9ef3-9482ddd18dd6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=kqueFYwvwgn3DTZMF7s8tOqSS54%3D,0.234433,48436
988011640,MRam-2023-07-08_23-40.WAV,2023 Markham Ravine B,2023,7,8,23,40,sp30,Simple Call,47.248,48.1653,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/09/z5e2spffh5ws/8c030441-ac48-48b7-90d1-4788cc08ef92.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765174806&Signature=%2B2FtK5Uy%2B1KNY6Px98USZGjfuGA%3D,0.241051,48436
