id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1080738027,MRam-2023-07-13_14-20.WAV,2023 Markham Ravine,2023,7,13,14,20,Agelaius tricolor,Courtship Song,2.29333,3.232,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/13/z5e2spffh5ws/cd5c85a8-463c-4db8-881c-8cac87d05df7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=j79zTEzpYMuE8az2IadnVMR%2Bido%3D,0.353084,48436
1080738028,MRam-2023-07-13_14-00.WAV,2023 Markham Ravine,2023,7,13,14,0,Agelaius tricolor,Courtship Song,34.896,35.8347,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/13/z5e2spffh5ws/987ef981-2f58-40d9-a734-0a4536e7db40.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=UzSR4qCIobMUNzmtYOLAFQ1ytP8%3D,0.297733,48436
1080738029,MRam-2023-07-12_13-00.WAV,2023 Markham Ravine,2023,7,12,13,0,Agelaius tricolor,Courtship Song,49.0987,50.0373,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/12/z5e2spffh5ws/cf9c29a0-4310-46db-9216-2a397baeb50c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=OnT78MIdni1Mchjg1ZefyYMW1o4%3D,0.313156,48436
1080738030,MRam-2023-07-12_12-40.WAV,2023 Markham Ravine,2023,7,12,12,40,Agelaius tricolor,Courtship Song,13.296,14.2347,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/12/z5e2spffh5ws/775e41c5-3cc5-40f2-b4de-ab452ec2965e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=GZKoi9uicgm9Sjh7z2FQAepbuq8%3D,0.325588,48436
1080738031,MRam-2023-07-12_22-20.WAV,2023 Markham Ravine,2023,7,12,22,20,Agelaius tricolor,Courtship Song,17.8773,18.816,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/13/z5e2spffh5ws/aa514154-6107-4d7d-8050-66766ab46398.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=igpFJhrKd6sva8P5A4P7GtaDtxo%3D,0.348184,48436
1080738032,MRam-2023-07-12_12-00.WAV,2023 Markham Ravine,2023,7,12,12,0,Agelaius tricolor,Courtship Song,1.648,2.58667,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/12/z5e2spffh5ws/db4c1498-129c-4ef6-95c5-01c70e62cfb9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=abX3Zh4ciyJSNureYrF%2Buu%2FKb0I%3D,0.235709,48436
1080738033,MRam-2023-07-12_10-20.WAV,2023 Markham Ravine,2023,7,12,10,20,Agelaius tricolor,Courtship Song,53.0293,53.968,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/12/z5e2spffh5ws/27f77ed0-d3cf-40b9-a461-97043289353f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=AXpwjUrWeBqmuBxOIdCRy5a8dVU%3D,0.314897,48436
1080738034,MRam-2023-07-12_22-00.WAV,2023 Markham Ravine,2023,7,12,22,0,Agelaius tricolor,Courtship Song,55.5573,56.496,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/13/z5e2spffh5ws/74536736-bbb5-411d-a2fa-5271f1d512da.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=DGi0JGIIY8XgZQX94kM8sXJuIU4%3D,0.20463,48436
1080738035,MRam-2023-07-13_09-40.WAV,2023 Markham Ravine,2023,7,13,9,40,Agelaius tricolor,Courtship Song,12.6613,13.6,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/13/z5e2spffh5ws/007f9a0c-991f-4ac2-9d48-e3f00c4e4e0a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=kyzh2Jucyl4uE0gx4gZ%2BvIizYSE%3D,0.219561,48436
1080738036,MRam-2023-07-12_19-40.WAV,2023 Markham Ravine,2023,7,12,19,40,Agelaius tricolor,Courtship Song,49.5787,50.5173,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/13/z5e2spffh5ws/5b9805c9-7c12-4f0f-8510-cafe48c62520.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768137763&Signature=g5%2FPmOSue%2B4qq1bCF%2FEh33SfcFM%3D,0.220975,48436
