id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
698328182,MNWR.DSam-2023-06-06_12-00.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,6,13,0,sp11,Simple Call,0.666667,1.41333,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/06/qxyni49j960j/dd8a13e0-211c-4afa-93de-f58f04d8326a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=BRh04qz%2B1%2B0gO%2FIzMkrG%2B8M%2FLtw%3D,0.229813,48490
698328183,MNWR.DSam-2023-06-05_19-40.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,5,20,40,sp11,Simple Call,32.5173,33.264,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/06/qxyni49j960j/c96b2816-0cfc-4ee8-8fcf-23b506d5618e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=wVvYzGUdOiBnsjENIxwIQ1zbw%2FI%3D,0.222576,48490
698328184,MNWR.DSam-2023-06-05_09-00.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,5,10,0,sp11,Simple Call,24.1493,24.896,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/05/qxyni49j960j/a8dfe190-5ff3-4c1a-b233-6a28b088c740.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=68ziJHsD1Pvf%2Bl8feO43VDuCnks%3D,0.238042,48490
698328185,MNWR.DSam-2023-06-04_20-00.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,4,21,0,sp11,Simple Call,24.4853,25.232,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/05/qxyni49j960j/5fe326be-3875-42b8-a6cf-43acc30755fc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=LDiBJvRNn%2FGIqu4UrHKB690mOlQ%3D,0.249663,48490
698328186,MNWR.DSam-2023-06-03_11-00.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,3,12,0,sp11,Simple Call,37.6267,38.3733,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/03/qxyni49j960j/c221002a-3ab9-42c6-b114-6bb51a4a69b3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=l%2BZ4Yi%2BNlz1S%2BfRJGlC4OeZKCo8%3D,0.254336,48490
698328187,MNWR.DSam-2023-06-03_10-40.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,3,11,40,sp11,Simple Call,32.3413,33.088,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/03/qxyni49j960j/015402cc-b192-41c9-9e11-04e6d2ed2ac6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=TIKd70PkFyij6cTZR%2FJjjZf7BDI%3D,0.228559,48490
698328188,MNWR.DSam-2023-06-03_08-20.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,3,9,20,sp11,Simple Call,39.4773,40.224,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/03/qxyni49j960j/002b0169-9841-4b04-9b34-3131d00555ad.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=fImgRUgY9dyQ%2FbMm0mbIJTk6huo%3D,0.246567,48490
698328189,MNWR.DSam-2023-06-04_13-20.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,4,14,20,sp11,Simple Call,25.8293,26.576,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/04/qxyni49j960j/6e99c876-3695-48eb-818d-56a63e979832.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=ap2N800HpXE23Ti38NOisCsk0ig%3D,0.201069,48490
698328190,MNWR.DSam-2023-06-03_19-40.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,3,20,40,sp11,Simple Call,26.0533,26.8,2250,13688,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/04/qxyni49j960j/ad8147c0-991b-4df9-b9b9-291d39a00404.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=Pe8f55N2Murqxf%2F26cVYvBTCH6M%3D,0.253644,48490
698328191,MNWR.DSam-2023-06-04_07-20.WAV,2023 Merced NWR Deadman Wetland Ditch,2023,6,4,8,20,sp11,Simple Call,47.8987,48.6453,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/04/qxyni49j960j/945bcdea-0fa1-447f-a900-a7dd140c1dbe.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766138470&Signature=pMr89beVAxMEDE7y6B4vy3Af4j0%3D,0.20071,48490
