id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
698332606,OR.ERam-2023-07-11_11-00.WAV,2023 OR Eureka Rd,2023,7,11,12,0,sp11,Simple Call,20.688,21.4347,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/11/ltg9vyy5ack6/8aca9b68-9421-48e3-94f3-7b5066e83db1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=i%2ByAghoKlZMP6qKdv20Pd5hC7ac%3D,0.229059,48392
698332607,OR.ERam-2023-07-11_10-20.WAV,2023 OR Eureka Rd,2023,7,11,11,20,sp11,Simple Call,54.4107,55.1573,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/11/ltg9vyy5ack6/120294f6-769a-4157-85eb-6cdc96dcfd27.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=F0Dl%2F273dx3cn6td%2BrXNEfk1CXQ%3D,0.213051,48392
698332608,OR.ERam-2023-07-11_09-40.WAV,2023 OR Eureka Rd,2023,7,11,10,40,sp11,Simple Call,0.32,1.06667,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/11/ltg9vyy5ack6/870163e5-8c1a-4bc9-ae68-869747215aca.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=cVH%2FiF6jq5OA54pwDrocaw4kFMo%3D,0.217942,48392
698332609,OR.ERam-2023-07-11_09-20.WAV,2023 OR Eureka Rd,2023,7,11,10,20,sp11,Simple Call,44.5867,45.3333,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/11/ltg9vyy5ack6/f6102e3a-3ea7-4c5b-96a1-d0d725c2a8f9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=xxb4HI6hrS3G0hvyBnZfs79VMco%3D,0.282039,48392
698332610,OR.ERam-2023-07-10_13-20.WAV,2023 OR Eureka Rd,2023,7,10,14,20,sp11,Simple Call,15.392,16.1387,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/10/ltg9vyy5ack6/d8a1f7c0-ff63-4e41-96a2-89218d73923a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=%2Bt9eCj1c5uCP73fujeKkfYJiCKo%3D,0.225234,48392
698332611,OR.ERam-2023-07-10_13-40.WAV,2023 OR Eureka Rd,2023,7,10,14,40,sp11,Simple Call,26.304,27.0507,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/10/ltg9vyy5ack6/ea4052a8-a283-4a07-a27d-daccf9c8b7c7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=Q7JxeM07nGv0vKcTd%2FEwBQ7GCNQ%3D,0.217196,48392
698332612,OR.ERam-2023-07-10_06-20.WAV,2023 OR Eureka Rd,2023,7,10,7,20,sp11,Simple Call,48.8427,49.5893,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/10/ltg9vyy5ack6/327b7fd9-c5e1-4b9f-9168-fd529d8cfd48.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=pqHxci%2F1nquO6ahD0UXlIIPhjmc%3D,0.247285,48392
698332613,OR.ERam-2023-07-10_09-20.WAV,2023 OR Eureka Rd,2023,7,10,10,20,sp11,Simple Call,44.6347,45.3813,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/10/ltg9vyy5ack6/680067fa-59fc-4be7-9c0f-b7fa2791aa6a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=QB3AiWU6q%2FPPXY89tEqd7o52IbY%3D,0.246128,48392
698332614,OR.ERam-2023-07-11_08-40.WAV,2023 OR Eureka Rd,2023,7,11,9,40,sp11,Simple Call,11.712,12.4587,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/11/ltg9vyy5ack6/6dc2d31e-a2d6-432e-a0a8-10ec71f949fb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=8l0mIIX0QycQlHp5mvgYpl41LSg%3D,0.222211,48392
698332615,OR.ERam-2023-07-10_05-20.WAV,2023 OR Eureka Rd,2023,7,10,6,20,sp11,Simple Call,55.8133,56.56,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/10/ltg9vyy5ack6/deed24ce-d022-449b-854a-d2dea37c8003.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=nYOENSByeFpol8pYOjPm7u0KCq4%3D,0.210813,48392
698332616,OR.ERam-2023-07-09_21-00.WAV,2023 OR Eureka Rd,2023,7,9,22,0,sp11,Simple Call,5.32267,6.06933,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/10/ltg9vyy5ack6/aa2c5b07-130e-4a26-b4e7-c1580478038d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=67B7Nqt%2Bk2Xk76Zg%2Ftukswq2u3o%3D,0.22544,48392
698332617,OR.ERam-2023-07-09_06-40.WAV,2023 OR Eureka Rd,2023,7,9,7,40,sp11,Simple Call,53.5573,54.304,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/09/ltg9vyy5ack6/9acb177f-bba7-4f94-83e2-56489376d0dc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=6wizqRp17sRO2sf3Sh3LTJXcqmM%3D,0.209094,48392
698332618,OR.ERam-2023-07-08_10-40.WAV,2023 OR Eureka Rd,2023,7,8,11,40,sp11,Simple Call,0.256,1.00267,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/08/ltg9vyy5ack6/706ee67d-b20c-4e12-9013-a3bb0c027537.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=h84KiH5EmKlR0xiUdWNe1NV8XNA%3D,0.205733,48392
698332619,OR.ERam-2023-07-07_21-40.WAV,2023 OR Eureka Rd,2023,7,7,22,40,sp11,Simple Call,40.624,41.3707,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/08/ltg9vyy5ack6/54aa5bf0-4674-4be4-ab74-1d173f3c6bc9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=FS4LFo247I9UqUNzqInKvYxhWCs%3D,0.262036,48392
698332620,OR.ERam-2023-07-08_06-20.WAV,2023 OR Eureka Rd,2023,7,8,7,20,sp11,Simple Call,32.9813,33.728,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/08/ltg9vyy5ack6/06207942-28df-4df5-8b07-66ef286554e9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765176464&Signature=YKNFOyBNhuFE%2B93o15Jsu5pwg7A%3D,0.206612,48392
