recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
PCP.NWam-2023-05-01_07-20.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,1,8,20,sp22,Simple Call,6.794666767,8,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/01/sd2oqbzyq7pj/4c1bcbf8-485a-41d7-94c3-a42e9b8bedf2.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=7182b90a448b8dd8109abab9249b5736f95db289a7551bdd5232b09de4cf9943&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D4c1bcbf8-485a-41d7-94c3-a42e9b8bedf2.flac&x-id=GetObject,0.255345464,48796
PCP.NWam-2023-05-01_19-40.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,1,20,40,sp22,Simple Call,21.55733299,22.7626667,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/02/sd2oqbzyq7pj/2e2f9883-d066-40ad-bde5-8d2c8d0f38e5.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=afb148115518746bd7986d5c08af4adeb313c14a73a1cdb03958a7bee20294b2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D2e2f9883-d066-40ad-bde5-8d2c8d0f38e5.flac&x-id=GetObject,0.201845571,48796
PCP.NWam-2023-05-02_07-00.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,2,8,0,sp22,Simple Call,29.13599968,30.34133339,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/02/sd2oqbzyq7pj/2159b0b3-cc52-4e6a-bf97-466bf55b7e6a.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=22252146a3b40655fc4035779260006f84f2364663ea2f548a4f3c4a41e19dec&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D2159b0b3-cc52-4e6a-bf97-466bf55b7e6a.flac&x-id=GetObject,0.217970639,48796
PCP.NWam-2023-05-02_07-20.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,2,8,20,sp22,Simple Call,13.35466671,14.56000042,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/02/sd2oqbzyq7pj/ba56d4c3-26cf-497e-8dff-bd43f6be4fda.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=a0e458dfc3d9e3268f1aa9a38c0d7042d8a276278442a25af472c255f1c4a0f6&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dba56d4c3-26cf-497e-8dff-bd43f6be4fda.flac&x-id=GetObject,0.24247925,48796
PCP.NWam-2023-05-02_19-00.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,2,20,0,sp22,Simple Call,55.32266617,56.52799988,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/sd2oqbzyq7pj/f438b047-ecb2-4bbb-abec-ee67a69bdb9f.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=ef9de3a3002326ffab2cc130c49e6f5217cd14485f44a04a268dd4d8c01f41d2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Df438b047-ecb2-4bbb-abec-ee67a69bdb9f.flac&x-id=GetObject,0.241084382,48796
PCP.NWam-2023-05-02_19-40.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,2,20,40,sp22,Simple Call,41.78666687,42.99200058,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/sd2oqbzyq7pj/efc0179b-b244-414c-b074-11eeea6b15a0.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=8d6b4bbdfd83ee8490f11b06990121498d6cf28653981e13db17010d5df4230c&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Defc0179b-b244-414c-b074-11eeea6b15a0.flac&x-id=GetObject,0.252292722,48796
PCP.NWam-2023-05-03_09-00.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,3,10,0,sp22,Simple Call,8.784000397,9.989333153,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/sd2oqbzyq7pj/bbf2662f-8ff4-45a3-a17f-7f510940540a.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=fc887020a7ddadd950d34432d31a39af1e152ca083a12bb7792a035a63ec5f58&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dbbf2662f-8ff4-45a3-a17f-7f510940540a.flac&x-id=GetObject,0.254473627,48796
PCP.NWam-2023-05-03_11-40.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,3,12,40,sp22,Simple Call,5.42933321,6.634666443,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/sd2oqbzyq7pj/dcf57770-f4d7-44b1-8c81-ad45aa6d0ff1.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=c55cb8dde8e2de64201fcc64c6508c947466cf21d19a31f4f6efc4037bd0eafd&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Ddcf57770-f4d7-44b1-8c81-ad45aa6d0ff1.flac&x-id=GetObject,0.202951252,48796
PCP.NWam-2023-05-03_12-00.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,3,13,0,sp22,Simple Call,58.47999954,59.68533325,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/sd2oqbzyq7pj/7f15ff51-eed3-41bb-8604-17ecb8b6168d.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=5a7ea330abe453fce39398b4a4d9aa1f9988e7bc534b40a88d2b739a7598c43d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D7f15ff51-eed3-41bb-8604-17ecb8b6168d.flac&x-id=GetObject,0.21807304,48796
PCP.NWam-2023-05-03_13-20.WAV,2023 Panoche Creek Preserve - Corrals NW,2023,5,3,14,20,sp22,Simple Call,33.32266617,34.52799988,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/sd2oqbzyq7pj/46355ed2-7ca8-49db-a3fd-725557ecee91.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002814Z&X-Amz-Expires=604800&X-Amz-Signature=fb2d1f55a2f4e5ef42fe231edc9c1d93a750e70ddcd451946157257a7eb047f1&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D46355ed2-7ca8-49db-a3fd-725557ecee91.flac&x-id=GetObject,0.231592774,48796
