id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
988147868,PRP.Wam-2023-04-11_06-00.WAV,2023 Peterson Ranch Pond - West,2023,4,11,7,0,sp31,Simple Call,24.0213,24.9067,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/11/e0saxtl8hq98/625a3c17-623e-4553-a36b-57b797a741ab.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=10J6rfIgBt29cEg1HUtyYhqffBs%3D,0.216833,48461
988147869,PRP.Wam-2023-04-06_07-20.WAV,2023 Peterson Ranch Pond - West,2023,4,6,8,20,sp31,Simple Call,38.0427,38.928,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/06/e0saxtl8hq98/65f1af1d-f129-41e8-9b2b-35e43109d4a8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=Qkyveo4Di%2BosUlcwzdCgRSBipVg%3D,0.310117,48461
988147870,PRP.Wam-2023-04-22_07-00.WAV,2023 Peterson Ranch Pond - West,2023,4,22,8,0,sp31,Simple Call,30.0373,30.9227,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/22/e0saxtl8hq98/fd758f32-6e23-4ff2-91be-7a1ce548db25.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=Z9wK65Mbm42p%2BIzwMCdOEpCf4Jg%3D,0.25518,48461
988147871,PRP.Wam-2023-04-22_05-40.WAV,2023 Peterson Ranch Pond - West,2023,4,22,6,40,sp31,Simple Call,31.024,31.9093,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/22/e0saxtl8hq98/d735d94d-424d-4960-8e61-da9a996a1466.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=0yXXTV%2FKd0QQcg0aEqt759zDYis%3D,0.232856,48461
988147872,PRP.Wam-2023-04-23_16-40.WAV,2023 Peterson Ranch Pond - West,2023,4,23,17,40,sp31,Simple Call,28.3573,29.2427,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/24/e0saxtl8hq98/b166cea3-6277-4837-b45f-40e7f79e2118.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=e5Dto867oxuP7c34oJO4DyD6xSQ%3D,0.212203,48461
988147873,PRP.Wam-2023-04-23_10-00.WAV,2023 Peterson Ranch Pond - West,2023,4,23,11,0,sp31,Simple Call,12.384,13.2693,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/23/e0saxtl8hq98/873b8b5a-5fcf-4c2e-9e6b-0d2fda618321.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=OcCRlc3jwQ1jwr3qdPoKJof9lno%3D,0.267392,48461
988147874,PRP.Wam-2023-04-24_05-40.WAV,2023 Peterson Ranch Pond - West,2023,4,24,6,40,sp31,Simple Call,54.7573,55.6427,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/24/e0saxtl8hq98/8c4ae158-6b58-4ec5-bf12-2390111153e3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=lTVXtSfo0GDwiWiwhshO2PSAln4%3D,0.230071,48461
988147875,PRP.Wam-2023-04-25_10-00.WAV,2023 Peterson Ranch Pond - West,2023,4,25,11,0,sp31,Simple Call,26.8053,27.6907,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/e0saxtl8hq98/f13cb9be-1c11-4ae8-91b5-e291e1db4bb4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=po6lmJPSr1n5ZVZ7Rq5X2CQj3is%3D,0.202825,48461
988147876,PRP.Wam-2023-04-25_08-40.WAV,2023 Peterson Ranch Pond - West,2023,4,25,9,40,sp31,Simple Call,31.6373,32.5227,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/e0saxtl8hq98/5b6fba6d-e459-4fdd-a362-857a81f2439f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=bi8DltaPBrCduGzWXjuOQibab88%3D,0.231837,48461
988147877,PRP.Wam-2023-04-25_17-40.WAV,2023 Peterson Ranch Pond - West,2023,4,25,18,40,sp31,Simple Call,46.9173,47.8027,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/26/e0saxtl8hq98/6af86ea5-1914-44c8-8ff7-20942526ea25.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=QjVpRrKD6%2B38gIoEKHdVIsbAlqQ%3D,0.248741,48461
988147878,PRP.Wam-2023-04-28_06-20.WAV,2023 Peterson Ranch Pond - West,2023,4,28,7,20,sp31,Simple Call,23.8293,24.7147,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/28/e0saxtl8hq98/88a477b1-83de-4c63-8b69-732a041a5593.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=dh58cm8A5eW3vnRlQVtZjzoNdpk%3D,0.205845,48461
988147879,PRP.Wam-2023-04-29_17-20.WAV,2023 Peterson Ranch Pond - West,2023,4,29,18,20,sp31,Simple Call,27.616,28.5013,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/30/e0saxtl8hq98/ea228ef5-1899-4972-9ced-1e9710c96801.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=4vREiFF8s17dOLuQfnoVng57%2Bk8%3D,0.207563,48461
988147880,PRP.Wam-2023-04-29_05-40.WAV,2023 Peterson Ranch Pond - West,2023,4,29,6,40,sp31,Simple Call,11.1307,12.016,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/29/e0saxtl8hq98/b1aedbda-5bd2-4613-b7fa-dd372ebf506b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=VSfNWfor9khM2OY48sr8kFHdwNU%3D,0.236297,48461
988147881,PRP.Wam-2023-05-01_09-20.WAV,2023 Peterson Ranch Pond - West,2023,5,1,10,20,sp31,Simple Call,36.384,37.2693,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/01/e0saxtl8hq98/d59861d9-3e5e-4105-91b1-8b0758827779.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=Mlnh9GLobW5d6ejtP9D2NHmGVPU%3D,0.201338,48461
988147882,PRP.Wam-2023-04-28_09-20.WAV,2023 Peterson Ranch Pond - West,2023,4,28,10,20,sp31,Simple Call,45.536,46.4213,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/28/e0saxtl8hq98/9744d4c9-0446-4028-b23a-15a7b4fea02d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765177854&Signature=tOtyWv%2FWBGzaMFHLiUVUh1ziP2A%3D,0.287371,48461
