recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
MNWR.WBCam-2023-06-16_13-20.WAV,2023 San Luis Bear Creek,2023,6,16,14,20,Agelaius tricolor,Common Song,39.54666519,41.75999832,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/16/y3cy8lp1o7ir/0309c8e9-a63c-453d-9afd-081669796bd3.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002338Z&X-Amz-Expires=604800&X-Amz-Signature=fcdaacd8c65675e1dc55b7c4196d44aa63c03e666e7f5654cf84e5f27ab378fe&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D0309c8e9-a63c-453d-9afd-081669796bd3.flac&x-id=GetObject,0.22270067,48447
MNWR.WBCam-2023-06-16_13-40.WAV,2023 San Luis Bear Creek,2023,6,16,14,40,Agelaius tricolor,Common Song,42.01066589,44.22399902,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/16/y3cy8lp1o7ir/807c9fde-8bbc-4a70-b013-da10ab5537c5.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002338Z&X-Amz-Expires=604800&X-Amz-Signature=9c0f3159a5f13bcd4f06d9ec343279a58f91938fa0325d4c27d25b991740f2f3&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D807c9fde-8bbc-4a70-b013-da10ab5537c5.flac&x-id=GetObject,0.235786915,48447
MNWR.WBCam-2023-06-16_14-20.WAV,2023 San Luis Bear Creek,2023,6,16,15,20,Agelaius tricolor,Common Song,5.07733345,7.29066658,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/16/y3cy8lp1o7ir/16faf3b7-f455-43cc-9b0a-84481cdd72a6.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=8a0b176f423a3d55c16f741d02336c0ce43f161cdd63288967a189d8d434d585&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D16faf3b7-f455-43cc-9b0a-84481cdd72a6.flac&x-id=GetObject,0.202819735,48447
MNWR.WBCam-2023-06-16_15-20.WAV,2023 San Luis Bear Creek,2023,6,16,16,20,Agelaius tricolor,Common Song,40.01066589,42.22399902,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/16/y3cy8lp1o7ir/947969eb-8fb1-465b-b3a7-37718e56da62.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=529f95222888e4b1f826b1ca276328a70c6882b7a032de83e1aae6c44f7362cc&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D947969eb-8fb1-465b-b3a7-37718e56da62.flac&x-id=GetObject,0.211633027,48447
MNWR.WBCam-2023-06-16_15-40.WAV,2023 San Luis Bear Creek,2023,6,16,16,40,Agelaius tricolor,Common Song,57.01333237,59.2266655,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/16/y3cy8lp1o7ir/e1bdce63-c438-4c31-b2a6-10a201477f84.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=a3d846c2a6afa6c658b05ab2c13f92fe089bbdfa561064360196c15ba009bf8e&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3De1bdce63-c438-4c31-b2a6-10a201477f84.flac&x-id=GetObject,0.213820368,48447
MNWR.WBCam-2023-06-16_16-00.WAV,2023 San Luis Bear Creek,2023,6,16,17,0,Agelaius tricolor,Common Song,51.75466537,53.9679985,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/2bb423d3-9d93-4b47-b01b-ebde2a98f5b5.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=f4d43e5ba0b55bd8c066260c787c0745e2a795614b9343e56d73557c019201cd&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D2bb423d3-9d93-4b47-b01b-ebde2a98f5b5.flac&x-id=GetObject,0.234244317,48447
MNWR.WBCam-2023-06-16_16-20.WAV,2023 San Luis Bear Creek,2023,6,16,17,20,Agelaius tricolor,Common Song,41.93600082,44.14933395,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/635bd0ee-8b05-4ddf-8ef3-36faf65032e9.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=96f1b293df97fd82aa8b2894b53c33a601a9891a9bd1dccda1bb2693b7679db1&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D635bd0ee-8b05-4ddf-8ef3-36faf65032e9.flac&x-id=GetObject,0.213740766,48447
MNWR.WBCam-2023-06-16_16-40.WAV,2023 San Luis Bear Creek,2023,6,16,17,40,Agelaius tricolor,Common Song,43.29600143,45.50933456,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/c37e3342-0acf-467d-abee-c9df217135a0.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=2bb5eb007cd79dfb884056c9229003b2948ec1fa521ef96320ac85a8da5de4f2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dc37e3342-0acf-467d-abee-c9df217135a0.flac&x-id=GetObject,0.221860126,48447
MNWR.WBCam-2023-06-16_17-40.WAV,2023 San Luis Bear Creek,2023,6,16,18,40,Agelaius tricolor,Common Song,14.52266693,16.73600006,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/c1faa80b-d9ec-49b8-bbc5-147d40f2222b.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=fffdc7e51a9bcc6ee63f3eefb14f044a85da8e11ba25336fb71a166e35aa7ec4&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dc1faa80b-d9ec-49b8-bbc5-147d40f2222b.flac&x-id=GetObject,0.346976489,48447
MNWR.WBCam-2023-06-16_18-20.WAV,2023 San Luis Bear Creek,2023,6,16,19,20,Agelaius tricolor,Common Song,54.7733345,56.98666763,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/df1f126e-39c0-4304-9fa3-31d187290980.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=cd252fb7fcb8f69d678910c8794eeff282680dd5de3d8d185399872a40e716a5&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Ddf1f126e-39c0-4304-9fa3-31d187290980.flac&x-id=GetObject,0.205085754,48447
MNWR.WBCam-2023-06-16_19-20.WAV,2023 San Luis Bear Creek,2023,6,16,20,20,Agelaius tricolor,Common Song,47.04533386,49.25866699,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/25aafa8f-2e94-44a0-85f3-ff5922016a89.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=7e96723db4fa0a323d149ed09c902a0ff5c94994d8d774fb29ab08698a999e0d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D25aafa8f-2e94-44a0-85f3-ff5922016a89.flac&x-id=GetObject,0.243082911,48447
MNWR.WBCam-2023-06-16_20-20.WAV,2023 San Luis Bear Creek,2023,6,16,21,20,Agelaius tricolor,Common Song,34.42666626,36.63999939,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/052eb35a-c619-48ac-a8f9-eb1f8745876f.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=abc38ac9bd23442d41061b1c0fad0d548e905dccd09d423e8a82aade0971fec4&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D052eb35a-c619-48ac-a8f9-eb1f8745876f.flac&x-id=GetObject,0.203503877,48447
MNWR.WBCam-2023-06-16_20-40.WAV,2023 San Luis Bear Creek,2023,6,16,21,40,Agelaius tricolor,Common Song,9.520000458,11.73333359,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/064ebe80-7bd3-496b-bb17-f383cf75084c.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=c78839bb9e4a1ed0cda55535ca632f7cd070baf0083d2f1efa30f1199c165fdf&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D064ebe80-7bd3-496b-bb17-f383cf75084c.flac&x-id=GetObject,0.234623164,48447
MNWR.WBCam-2023-06-17_05-20.WAV,2023 San Luis Bear Creek,2023,6,17,6,20,Agelaius tricolor,Common Song,29.01866722,31.23200035,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/24d95aff-2d50-4e99-80bd-796639f2afe8.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=05bef49da26e01ac72f2b2f563ffb0ba348d3b0e647a9aecab7f351d65dc9492&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D24d95aff-2d50-4e99-80bd-796639f2afe8.flac&x-id=GetObject,0.208190709,48447
MNWR.WBCam-2023-06-17_05-40.WAV,2023 San Luis Bear Creek,2023,6,17,6,40,Agelaius tricolor,Common Song,2.010666609,4.223999977,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/4cafd586-8c1b-4f77-8cef-8fc6be26b002.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=94eb68969d65fd84984670af5dd00e447ca721a31eec62f7879fd7b5b86ff820&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D4cafd586-8c1b-4f77-8cef-8fc6be26b002.flac&x-id=GetObject,0.268284529,48447
MNWR.WBCam-2023-06-17_08-00.WAV,2023 San Luis Bear Creek,2023,6,17,9,0,Agelaius tricolor,Common Song,42.04266739,44.25600052,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/2f5d7cb7-a865-4c0f-952b-bd5bad2a9299.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=e95b501eb2e049de6ba519316c75ca0f57a929f6d3d5ec080e20d371b2706ebd&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D2f5d7cb7-a865-4c0f-952b-bd5bad2a9299.flac&x-id=GetObject,0.286701798,48447
MNWR.WBCam-2023-06-17_09-20.WAV,2023 San Luis Bear Creek,2023,6,17,10,20,Agelaius tricolor,Common Song,31.06666756,33.27999878,844,3375,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/y3cy8lp1o7ir/9dac1961-9121-435c-b31b-cb814343a7fe.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002337Z&X-Amz-Expires=604800&X-Amz-Signature=7a843469fdc990a9d53cb3267ee2cb2c1a69a3ef89fa6fdce80b54586155848b&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D9dac1961-9121-435c-b31b-cb814343a7fe.flac&x-id=GetObject,0.200555012,48447
