id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
986478593,SRam-2023-06-17_05-40.WAV,2023 Sedgwick,2023,6,17,6,40,sp30,Simple Call,10.3787,11.296,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/17/dlwixoerw866/aa25d15f-aa4d-41d7-81b1-b1b6d2ac589d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=64IQm4Z42rjmpnWgEhTvfHSfAIw%3D,0.229897,48466
986478795,SRam-2023-05-03_12-40.WAV,2023 Sedgwick,2023,5,3,13,40,sp30,Simple Call,58.096,59.0133,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/dlwixoerw866/6cda2cec-c61f-4441-aeaa-c4c922cd3768.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=umUTJylHqiI9MGi0WBW5ZzGrXjc%3D,0.200686,48466
986478796,SRam-2023-05-03_05-40.WAV,2023 Sedgwick,2023,5,3,6,40,sp30,Simple Call,9.29067,10.208,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/dlwixoerw866/ddf81f16-cde7-4a07-acf4-2ef2acd2cd23.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=2OhTDHbBIdRXMZogwqV9K2oRLJI%3D,0.257318,48466
986478797,SRam-2023-05-04_18-00.WAV,2023 Sedgwick,2023,5,4,19,0,sp30,Simple Call,34.448,35.3653,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/05/dlwixoerw866/40f2f119-3017-4503-aca0-5f7ae8536c29.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=MklMkKd8Gh4CdrU1HHqV2rUXQFg%3D,0.207814,48466
986478798,SRam-2023-05-04_11-20.WAV,2023 Sedgwick,2023,5,4,12,20,sp30,Simple Call,43.9467,44.864,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/04/dlwixoerw866/66805d44-139e-479a-b8b8-c9fc0f9c4787.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=sc%2BTN6cyFd4mSLzFhrVyqayhfKA%3D,0.220437,48466
986478799,SRam-2023-05-05_07-40.WAV,2023 Sedgwick,2023,5,5,8,40,sp30,Simple Call,37.04,37.9573,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/05/dlwixoerw866/b635e9cf-8bf6-4db6-acc6-b30b1be49e69.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=oCkG3Y%2FpyhW%2BYkgnygagcfMB%2BTo%3D,0.235994,48466
986478800,SRam-2023-05-04_08-00.WAV,2023 Sedgwick,2023,5,4,9,0,sp30,Simple Call,25.5947,26.512,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/04/dlwixoerw866/fc88a72c-e4fa-4754-96a2-82dc8e2b06f1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=LgOn8Iq3O%2FzfacjVK3%2BU3BpFFBE%3D,0.215528,48466
986478801,SRam-2023-05-06_17-00.WAV,2023 Sedgwick,2023,5,6,18,0,sp30,Simple Call,32.5013,33.4187,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/07/dlwixoerw866/0d8f4d77-79a3-4343-a040-d3c9cb828668.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=1zQzr5KuCaaYrkqPYbmzO3KpCew%3D,0.282105,48466
986478802,SRam-2023-05-05_11-00.WAV,2023 Sedgwick,2023,5,5,12,0,sp30,Simple Call,57.6853,58.6027,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/05/dlwixoerw866/b790534d-fe79-4f37-9f19-03575128ff5f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=FmFGvkOVVAd2OhY513byX8N4BL8%3D,0.222165,48466
986478803,SRam-2023-05-07_10-00.WAV,2023 Sedgwick,2023,5,7,11,0,sp30,Simple Call,37.936,38.8533,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/07/dlwixoerw866/0275ce6b-19d3-4e3f-821a-425774cdb98a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=3lz2MzqwQIYiTPBTVA8eeMRgAGw%3D,0.22108,48466
986478804,SRam-2023-05-05_18-00.WAV,2023 Sedgwick,2023,5,5,19,0,sp30,Simple Call,38.3093,39.2267,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/dlwixoerw866/6bf08321-7ad7-42c8-90b2-dc750271a3a3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=sz5GAs5XkwOqfGOskITAy9Bh4nM%3D,0.21971,48466
986478805,SRam-2023-05-07_09-40.WAV,2023 Sedgwick,2023,5,7,10,40,sp30,Simple Call,29.5307,30.448,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/07/dlwixoerw866/a7563fc8-d980-44f3-a89f-837a268b7522.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=xPYXMFtw3gprc8G70QPB4JI3GAg%3D,0.200059,48466
986478806,SRam-2023-05-07_14-40.WAV,2023 Sedgwick,2023,5,7,15,40,sp30,Simple Call,27.3707,28.288,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/07/dlwixoerw866/c90608f8-9b26-4375-b719-f223b263c49f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=Pv5yq1bBwGMq8CeG0UA1Qy%2BnkZs%3D,0.237787,48466
986478807,SRam-2023-05-07_12-40.WAV,2023 Sedgwick,2023,5,7,13,40,sp30,Simple Call,46.736,47.6533,2625,4594,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/07/dlwixoerw866/92670f28-3751-4278-9253-1cfcb582e65f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752790121&Signature=Gk0xm%2F2DqdFCuHAFxY5B69CWnwo%3D,0.248633,48466
