id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
806199460,SRam-2023-06-04_11-20.WAV,2023 Sedgwick,2023,6,4,12,20,Agelaius tricolor,Courtship Song,0.874667,2.816,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/04/dlwixoerw866/2ca965e3-826b-48a2-bebb-e7792adb86b9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=8DPVIDnFrE6T9H9AD7N21WR8JSI%3D,0.207851,48466
806199461,SRam-2023-06-06_09-00.WAV,2023 Sedgwick,2023,6,6,10,0,Agelaius tricolor,Courtship Song,8.928,10.8693,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/06/dlwixoerw866/b3150e36-d9d9-452e-86b0-b46b794cd3e4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=Q%2Bsjn3Azu9eYC0A9oyQxCcrjHQo%3D,0.218001,48466
806199462,SRam-2023-06-05_15-20.WAV,2023 Sedgwick,2023,6,5,16,20,Agelaius tricolor,Courtship Song,12.4427,14.384,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/05/dlwixoerw866/11fe2a12-dba9-428c-9d00-bbc5d52d53cd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=6Y9BTY%2Flw%2Fp2oXh8j%2FxKfucS%2FHc%3D,0.219663,48466
806199463,SRam-2023-05-03_15-40.WAV,2023 Sedgwick,2023,5,3,16,40,Agelaius tricolor,Courtship Song,53.2267,55.168,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/dlwixoerw866/751ddfa8-5f75-4f19-856d-036649263d81.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=B%2F1wbrF6Hmo9lAaE%2Bp6%2BeKi%2FKMM%3D,0.249696,48466
806199464,SRam-2023-05-03_05-40.WAV,2023 Sedgwick,2023,5,3,6,40,Agelaius tricolor,Courtship Song,25.5467,27.488,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/dlwixoerw866/ddf81f16-cde7-4a07-acf4-2ef2acd2cd23.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=n0aoAAmlNR90QUx722fGx9nmJSQ%3D,0.226261,48466
806199465,SRam-2023-05-03_22-00.WAV,2023 Sedgwick,2023,5,3,23,0,Agelaius tricolor,Courtship Song,9.41333,11.3547,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/04/dlwixoerw866/d5254271-2035-4d9b-bee1-8023a9e8a5c8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=dIpfLinw7%2FlAt8J5grAtOUSKTFk%3D,0.220356,48466
806199466,SRam-2023-05-03_08-40.WAV,2023 Sedgwick,2023,5,3,9,40,Agelaius tricolor,Courtship Song,29.3653,31.3067,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/03/dlwixoerw866/12255782-2046-4dbd-8a61-e3435864638c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=iNw9UX4%2FFO%2Fxjo8flxaPbOXHogo%3D,0.210401,48466
806199467,SRam-2023-05-07_16-20.WAV,2023 Sedgwick,2023,5,7,17,20,Agelaius tricolor,Courtship Song,7.328,9.26933,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/08/dlwixoerw866/790870ba-5384-4864-a3c9-b08a75710da9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=XXjj1cGAwSzPigUU5NwmFRQxw%2BQ%3D,0.210984,48466
806199468,SRam-2023-05-08_12-40.WAV,2023 Sedgwick,2023,5,8,13,40,Agelaius tricolor,Courtship Song,51.9147,53.856,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/08/dlwixoerw866/20408f9e-1f07-483e-ba9a-fd5bed7ba0e5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=Rlk6Njissq%2FKcWWoLcCD2z0hHBw%3D,0.20427,48466
806199469,SRam-2023-05-08_16-20.WAV,2023 Sedgwick,2023,5,8,17,20,Agelaius tricolor,Courtship Song,13.7707,15.712,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/09/dlwixoerw866/329651b3-645f-45ee-9440-8d90f5f7fb44.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=G5dlwzh02Rq3KkNBx8yrfJVZPRQ%3D,0.234307,48466
806199470,SRam-2023-05-08_19-20.WAV,2023 Sedgwick,2023,5,8,20,20,Agelaius tricolor,Courtship Song,26.256,28.1973,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/09/dlwixoerw866/1778ccbf-1f71-4372-8b40-de55b46ca4b6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=2v%2BPCvMJtGNX31fZhS3Tkev3RMM%3D,0.219377,48466
806199471,SRam-2023-05-08_18-40.WAV,2023 Sedgwick,2023,5,8,19,40,Agelaius tricolor,Courtship Song,4.864,6.80533,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/09/dlwixoerw866/e3bb31e7-1047-47bb-9167-0c5e8636ef3c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=3UIhcG20fWXkFWxV84%2Fnn3acYFM%3D,0.221945,48466
806199472,SRam-2023-05-09_15-40.WAV,2023 Sedgwick,2023,5,9,16,40,Agelaius tricolor,Courtship Song,10.992,12.9333,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/09/dlwixoerw866/b32f18a9-b4a7-4b60-aab5-997491b8d3aa.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=nONVoCkSjJ8jVjz6xn%2BPnUSXFGA%3D,0.246354,48466
806199473,SRam-2023-05-09_18-20.WAV,2023 Sedgwick,2023,5,9,19,20,Agelaius tricolor,Courtship Song,5.94133,7.88267,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/10/dlwixoerw866/1acaa293-a0f9-4cd3-837c-93ad7f700b9b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=1JLK9MC0iBLMWoJnlmb1qD%2F6VKA%3D,0.256104,48466
806199474,SRam-2023-05-09_18-40.WAV,2023 Sedgwick,2023,5,9,19,40,Agelaius tricolor,Courtship Song,20.304,22.2453,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/10/dlwixoerw866/68b58ffd-d22a-4556-8b5e-498255f7417f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=%2FsMQkdJcGDyx2WdcX%2BoiJTPJysU%3D,0.224434,48466
806199475,SRam-2023-05-10_17-40.WAV,2023 Sedgwick,2023,5,10,18,40,Agelaius tricolor,Courtship Song,56.4747,58.416,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/11/dlwixoerw866/6096e21a-cc11-4f81-ab16-396945223c2f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=yFuxJFEkbgYe24XaqVZI1eX6Dmc%3D,0.226312,48466
806199476,SRam-2023-05-12_05-20.WAV,2023 Sedgwick,2023,5,12,6,20,Agelaius tricolor,Courtship Song,17.072,19.0133,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/12/dlwixoerw866/7d27f7ba-fd25-46d8-ab7a-d8b4629f85b1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136462&Signature=%2FXouxAv8ONzqOLqoMrkVsPEfDeM%3D,0.298996,48466
