id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
603381454,SD.2am-2023-04-13_14-00.WAV,2023 South Virginia Road 3,2023,4,13,14,0,Agelaius tricolor,Alternative Song 2,45.92,46.3253,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/13/szt0l4h587e0/ca80d65a-21d4-436f-bc97-1ee00b45eb3b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=bN2Dch1NSOoaVrRa%2FWORVvHfUAk%3D,0.230292,48478
603381455,SD.2am-2023-04-11_14-40.WAV,2023 South Virginia Road 3,2023,4,11,14,40,Agelaius tricolor,Alternative Song 2,15.4453,15.8507,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/11/szt0l4h587e0/bb12ec15-219b-4a49-938e-57af0b8d799c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=FIVO6xUMtUdAfb59K0KW0mP4TyI%3D,0.2314,48478
603381456,SD.2am-2023-04-12_10-40.WAV,2023 South Virginia Road 3,2023,4,12,10,40,Agelaius tricolor,Alternative Song 2,48.3893,48.7947,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/12/szt0l4h587e0/b581d7e6-c3db-4c17-b1eb-ded0175c8249.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=r7KaXGuTX3VMBCbfPPi4foV0DzY%3D,0.271464,48478
603381457,SD.2am-2023-04-11_22-40.WAV,2023 South Virginia Road 3,2023,4,11,22,40,Agelaius tricolor,Alternative Song 2,29.024,29.4293,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/12/szt0l4h587e0/366b23c1-8c15-4e31-bb5b-4d1ee7f9028a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=2DzlJNKbgynF5L1DBjZDjbleenM%3D,0.242976,48478
603381458,SD.2am-2023-04-12_01-00.WAV,2023 South Virginia Road 3,2023,4,12,1,0,Agelaius tricolor,Alternative Song 2,18.4747,18.88,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/12/szt0l4h587e0/859acf9a-ef61-4173-976b-8581dfcdb48c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=LZRvkxGTq3N%2FOwXtcs0v7u4LBu4%3D,0.248787,48478
603381459,SD.2am-2023-04-11_18-40.WAV,2023 South Virginia Road 3,2023,4,11,18,40,Agelaius tricolor,Alternative Song 2,54.8427,55.248,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/12/szt0l4h587e0/fa3bc55b-e091-4642-87e0-f0466deac4a4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=mWX%2BP%2BrTQgHWIsK1mh7uY0E1p2g%3D,0.248965,48478
603381460,SD.2am-2023-05-13_14-00.WAV,2023 South Virginia Road 3,2023,5,13,14,0,Agelaius tricolor,Alternative Song 2,45.0133,45.4187,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/szt0l4h587e0/682494ed-6180-45fd-9b7c-4ee449d7958e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=RaPKF2YA1TonQdXs2Q2%2BeKfDvlk%3D,0.246175,48478
603381461,SD.2am-2023-06-03_19-40.WAV,2023 South Virginia Road 3,2023,6,3,19,40,Agelaius tricolor,Alternative Song 2,56.5067,56.912,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/04/szt0l4h587e0/ecbb0b79-d853-4797-8238-f1ee1ff816dc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=3q8GEVnqd6Fpk8S%2Fspva22pmjmw%3D,0.259939,48478
603381462,SD.2am-2023-05-11_07-00.WAV,2023 South Virginia Road 3,2023,5,11,7,0,Agelaius tricolor,Alternative Song 2,26.592,26.9973,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/11/szt0l4h587e0/ddd2b936-19e0-4cf7-a63d-b1b8e7e02c89.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=d7DExFP3GBsDLJx39CClth6Z9e0%3D,0.359653,48478
603381463,SD.2am-2023-05-03_18-00.WAV,2023 South Virginia Road 3,2023,5,3,18,0,Agelaius tricolor,Alternative Song 2,28.624,29.0293,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/04/szt0l4h587e0/ad1aa9df-bb41-4d7c-8f43-db408f5f1754.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1744136610&Signature=Z%2F2umvt8OG%2Ff9By3%2B20JoJ73CeE%3D,0.21846,48478
