recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
WA.McWam-2023-04-21_17-20.WAV,2023 WA McCain Wetlands,2023,4,21,18,20,Agelaius tricolor,Common Song,0.677333355,2.730666637,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/22/zxig94blapl4/aefe5e0e-6528-4bd2-9ae2-e8dafc87d1c7.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=51c40b66f1a0de8d86b1c631510c6bf0235d0c64f0460ddf4bd314d6beff6402&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Daefe5e0e-6528-4bd2-9ae2-e8dafc87d1c7.flac&x-id=GetObject,0.361102074,48393
WA.McWam-2023-04-22_10-20.WAV,2023 WA McCain Wetlands,2023,4,22,11,20,Agelaius tricolor,Common Song,0.94933331,3.002666712,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/22/zxig94blapl4/5ae31803-f212-46b5-980c-0671ddaa5424.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=3becdc85980e029995f8bc5208207c9910cda7354ea817cded3802ab5e9192a0&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5ae31803-f212-46b5-980c-0671ddaa5424.flac&x-id=GetObject,0.277313799,48393
WA.McWam-2023-04-23_08-00.WAV,2023 WA McCain Wetlands,2023,4,23,9,0,Agelaius tricolor,Common Song,8.661333084,10.71466637,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/23/zxig94blapl4/906dfdba-9efd-4d6d-963d-a7358d0a689f.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=eca70d212bf53412289bef8c243e83e03afc640fa208e8bfcf760ce6489c7d67&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D906dfdba-9efd-4d6d-963d-a7358d0a689f.flac&x-id=GetObject,0.376368284,48393
WA.McWam-2023-04-23_08-40.WAV,2023 WA McCain Wetlands,2023,4,23,9,40,Agelaius tricolor,Common Song,1.83466661,3.888000011,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/23/zxig94blapl4/070d23e3-3d97-43d9-99e7-0051ef6c6d9e.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=58c65245cfe91b6f0b77f89924a2bf502511f43f1fa82c895a410025d7a37d35&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D070d23e3-3d97-43d9-99e7-0051ef6c6d9e.flac&x-id=GetObject,0.283236712,48393
WA.McWam-2023-04-23_10-00.WAV,2023 WA McCain Wetlands,2023,4,23,11,0,Agelaius tricolor,Common Song,52.85333252,54.9066658,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/23/zxig94blapl4/38b55c19-6d78-4d3b-9033-d07adc47455d.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=d6bea5d46096bf2275efdc92034ff043b84bf3b763c8285d15bd63912931d766&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D38b55c19-6d78-4d3b-9033-d07adc47455d.flac&x-id=GetObject,0.463319749,48393
WA.McWam-2023-04-23_14-20.WAV,2023 WA McCain Wetlands,2023,4,23,15,20,Agelaius tricolor,Common Song,19.82933426,21.88266754,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/23/zxig94blapl4/92f0d56c-0a3a-4505-9ace-602a530ea0c0.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=aa0e2c5f605c121b9e09587e7366337897ccd905033a5345bb525dace92c2dbf&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D92f0d56c-0a3a-4505-9ace-602a530ea0c0.flac&x-id=GetObject,0.326913267,48393
WA.McWam-2023-04-24_17-20.WAV,2023 WA McCain Wetlands,2023,4,24,18,20,Agelaius tricolor,Common Song,20.13333321,22.18666649,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/zxig94blapl4/04bad475-09c8-4b45-acf0-110c832d0f60.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=e69f1fb743bd6a4bc2fe458ed695474933766630f0dd939bf89c959d9fb211d2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D04bad475-09c8-4b45-acf0-110c832d0f60.flac&x-id=GetObject,0.415041566,48393
WA.McWam-2023-04-25_12-00.WAV,2023 WA McCain Wetlands,2023,4,25,13,0,Agelaius tricolor,Common Song,32.60800171,34.66133499,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/zxig94blapl4/8bc72cef-71d5-43bf-9102-b030b1a84723.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=a9d768707da5aa3ae706da37d6c674565b1ae98c6590f821cc7c22630c0b0611&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D8bc72cef-71d5-43bf-9102-b030b1a84723.flac&x-id=GetObject,0.267773807,48393
WA.McWam-2023-04-25_12-20.WAV,2023 WA McCain Wetlands,2023,4,25,13,20,Agelaius tricolor,Common Song,43.86666489,45.91999817,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/zxig94blapl4/a0a5e8ca-67a2-4fab-a1e6-1f4266394ab8.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=d30fb7f8e6c973b441d5d53e20d46c8d95a0d316bbec4fb731065277c54f4427&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Da0a5e8ca-67a2-4fab-a1e6-1f4266394ab8.flac&x-id=GetObject,0.305229545,48393
WA.McWam-2023-04-26_06-40.WAV,2023 WA McCain Wetlands,2023,4,26,7,40,Agelaius tricolor,Common Song,22.68799973,24.74133301,1219,2812,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/26/zxig94blapl4/e0b9a3fc-b347-40d6-81d5-bff4e01fccb9.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002126Z&X-Amz-Expires=604800&X-Amz-Signature=90a8d2d7c6ad5170db1b8d638189d64e431ec57a233f62c2269f977d2ba8a482&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3De0b9a3fc-b347-40d6-81d5-bff4e01fccb9.flac&x-id=GetObject,0.379084855,48393
