id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
975318713,CNWRT27.1am-2024-07-26_20-20.WAV,2024 Colusa NWR T27.1,2024,7,26,20,20,Agelaius tricolor,Alternative Song 2,45.0347,45.44,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/27/5qmub3n9ft2x/b70af8ea-4f07-4051-b8e4-93a279e20f49.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=FK3qzaUnLtBast2T5m6pZaF1TPA%3D,0.227457,65453
975318714,CNWRT27.1am-2024-07-26_13-20.WAV,2024 Colusa NWR T27.1,2024,7,26,13,20,Agelaius tricolor,Alternative Song 2,43.5733,43.9787,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/26/5qmub3n9ft2x/898a20fd-2f9c-43a3-8cb6-c717067da532.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=4Lwws6EYWf%2F6lCyeWK9w0eO9jNQ%3D,0.250177,65453
975318715,CNWRT27.1am-2024-07-26_13-40.WAV,2024 Colusa NWR T27.1,2024,7,26,13,40,Agelaius tricolor,Alternative Song 2,42.0053,42.4107,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/26/5qmub3n9ft2x/28e41404-9232-4bb4-aae6-67e7455dfe2b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=1eoBw1O9Q02vbfuM3IdlbyY7EPE%3D,0.244281,65453
975318716,CNWRT27.1am-2024-07-26_19-20.WAV,2024 Colusa NWR T27.1,2024,7,26,19,20,Agelaius tricolor,Alternative Song 2,0.304,0.709333,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/27/5qmub3n9ft2x/49fcfe95-bdaa-47a7-8e54-867af9cdc226.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=FrWwLOULAYbY1fkIKBDqzOjZQBw%3D,0.275026,65453
975318717,CNWRT27.1am-2024-07-26_15-40.WAV,2024 Colusa NWR T27.1,2024,7,26,15,40,Agelaius tricolor,Alternative Song 2,29.0293,29.4347,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/26/5qmub3n9ft2x/a67ba854-ddfe-4d0b-8475-511c9eaf462b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=XCWtl%2FZEJdbtb42hSv0o7gDONpQ%3D,0.205492,65453
975318718,CNWRT27.1am-2024-07-26_18-20.WAV,2024 Colusa NWR T27.1,2024,7,26,18,20,Agelaius tricolor,Alternative Song 2,57.616,58.0213,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/27/5qmub3n9ft2x/100e82cb-15e1-4af2-89f7-ffc896281806.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=NYOv%2FnnznfIQ%2FjRcaCrZPnIYoHM%3D,0.212492,65453
975318719,CNWRT27.1am-2024-07-27_06-40.WAV,2024 Colusa NWR T27.1,2024,7,27,6,40,Agelaius tricolor,Alternative Song 2,15.008,15.4133,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/27/5qmub3n9ft2x/434ea772-7382-455b-8d22-1407905c8828.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=qj%2BiSc5lbce3ixk9l7UGDZ7X7eg%3D,0.208903,65453
975318720,CNWRT27.1am-2024-07-26_13-00.WAV,2024 Colusa NWR T27.1,2024,7,26,13,0,Agelaius tricolor,Alternative Song 2,0.570667,0.976,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/26/5qmub3n9ft2x/5f41d4be-65c2-4426-8fb6-9e181a290b88.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=a0rTHPL0x8326hTmU3MyXeWkzjo%3D,0.293342,65453
975318721,CNWRT27.1am-2024-07-26_15-20.WAV,2024 Colusa NWR T27.1,2024,7,26,15,20,Agelaius tricolor,Alternative Song 2,52.128,52.5333,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/26/5qmub3n9ft2x/8a69ab00-cb9e-4823-bc23-4081e54d846d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=UTAIUG0DU6NzRg8hFu38aZkYb7I%3D,0.240733,65453
975318722,CNWRT27.1am-2024-07-26_08-20.WAV,2024 Colusa NWR T27.1,2024,7,26,8,20,Agelaius tricolor,Alternative Song 2,18.528,18.9333,656,7406,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/26/5qmub3n9ft2x/ec9fdf80-bca1-4622-b7ac-53aec5db3d14.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768615802&Signature=erUax%2ByDVwcL%2BEBk0VvQ%2FU2Ep6U%3D,0.234679,65453
