id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
965684671,DRPam-2024-07-29_21-00.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,29,21,0,sp11,Simple Call,42.9227,43.6693,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/30/y8ueuwe2mhkv/9437ab3b-4794-4300-ae97-6a75b193e06a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=2xTYo3ISF65F7V1ptSodd55KmDU%3D,0.230836,63115
965684672,DRPam-2024-07-25_02-20.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,25,2,20,sp11,Simple Call,35.0613,35.808,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/25/y8ueuwe2mhkv/50e93ae4-ac95-4cf1-8a3c-7864689b5697.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=xxf3I9gdDDqsAU9PF6L2fnwnSU0%3D,0.255154,63115
965684673,DRPam-2024-07-23_20-40.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,23,20,40,sp11,Simple Call,21.152,21.8987,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/24/y8ueuwe2mhkv/593243e3-e3e1-4ba8-a9f4-2e7e4f086a9b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=wUeIdHQtCA9qtqHrHxFoOhOsM1A%3D,0.205365,63115
965684674,DRPam-2024-07-24_05-00.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,24,5,0,sp11,Simple Call,44.192,44.9387,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/24/y8ueuwe2mhkv/8288b3de-025b-4c71-a0ea-7116ead7e175.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=4TExFjuaKbDZkBFsn3AKGZLBrf0%3D,0.217632,63115
965684675,DRPam-2024-07-25_01-20.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,25,1,20,sp11,Simple Call,47.6693,48.416,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/25/y8ueuwe2mhkv/88108e70-b9c7-49aa-bb28-78d8432a68df.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=vGm22xW5b0xCvcOQzF9B%2BY9Mky8%3D,0.26042,63115
965684676,DRPam-2024-07-25_00-40.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,25,0,40,sp11,Simple Call,40.0373,40.784,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/25/y8ueuwe2mhkv/0203356c-89e4-494c-807a-a18a6501f4cd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=0YnPIZJaMJcLVRx0NnelRGkiW6o%3D,0.232367,63115
965684677,DRPam-2024-07-24_20-40.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,24,20,40,sp11,Simple Call,28.88,29.6267,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/25/y8ueuwe2mhkv/affca33a-e381-492d-aa8f-b36a9ef43741.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=QgfL69S3o7LNyqFlin3KazOI5wY%3D,0.205015,63115
965684678,DRPam-2024-07-23_03-20.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,23,3,20,sp11,Simple Call,55.808,56.5547,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/23/y8ueuwe2mhkv/9394c38e-ac67-4915-b8b8-073194dcdff8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=0YOtqQA7XndKHrrBcSBZjbPi318%3D,0.202422,63115
965684679,DRPam-2024-07-22_22-20.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,22,22,20,sp11,Simple Call,5.584,6.33067,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/23/y8ueuwe2mhkv/5c9ed887-2a1d-4be5-9332-cbd799f08fff.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=%2BHXwRaul6L3Q3xMr%2BSr7cwsx%2FgU%3D,0.37813,63115
965684680,DRPam-2024-07-22_23-00.WAV,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024,7,22,23,0,sp11,Simple Call,14.0853,14.832,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/23/y8ueuwe2mhkv/1ca12bb3-954b-4da2-ad20-299685da482a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1752791140&Signature=Zme6FjeJiMB3jGL%2FXydZw9l8nRM%3D,0.224941,63115
