id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1069905276,MNWR-CTam-2024-03-15_20-40.WAV,2024 Merced NWR - Cottonwood Trail,2024,3,15,20,40,sp31,Simple Call,44.7307,45.616,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/03/16/r6t8ev3c4grp/836eca3b-6c50-4958-a3fe-aca973c457eb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=z0L96gZjqSjwe2JHjz2IDqwMxnA%3D,0.232331,63114
1069905277,MNWR-CTam-2024-04-27_14-40.WAV,2024 Merced NWR - Cottonwood Trail,2024,4,27,14,40,sp31,Simple Call,33.5627,34.448,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/27/r6t8ev3c4grp/6af0a564-5d91-459b-8e69-9ccacd791851.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=0r5ZI5%2FOVwY2CcUb6b5faDoMfd0%3D,0.244931,63114
1069905278,MNWR-CTam-2024-04-27_08-40.WAV,2024 Merced NWR - Cottonwood Trail,2024,4,27,8,40,sp31,Simple Call,44.544,45.4293,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/27/r6t8ev3c4grp/097eec82-d8fe-4e27-9657-8a03cf53377f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=jAKSxFiPOrW%2FxNR4e0UnjSr%2FBPs%3D,0.209504,63114
1069905279,MNWR-CTam-2024-04-25_12-01.WAV,2024 Merced NWR - Cottonwood Trail,2024,4,25,12,1,sp31,Simple Call,49.4507,50.336,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/25/r6t8ev3c4grp/4bf5811c-886f-40ba-a033-c2f1169c6046.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=Lw0VgZkG7vLQ5qqGCHrF717YuXw%3D,0.205506,63114
1069905281,MNWR-CTam-2024-05-29_01-40.WAV,2024 Merced NWR - Cottonwood Trail,2024,5,29,1,40,sp31,Simple Call,55.7813,56.6667,3281,5719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/29/r6t8ev3c4grp/c82ca8ab-5048-4a39-8efa-e8085148950c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=qoN2GOZPQsD%2BiyQIr1NW3LHsVwo%3D,0.232831,63114
1069905282,MNWR-CTam-2024-06-15_00-20.WAV,2024 Merced NWR - Cottonwood Trail,2024,6,15,0,20,sp31,Simple Call,2.37333,3.25867,3281,5719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/15/r6t8ev3c4grp/056bb2b8-d612-426c-9fa6-c880daa175dd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=RWjynW6dxzGJkESUfpafs%2FsptcA%3D,0.210912,63114
1069905283,MNWR-CTam-2024-06-15_08-00.WAV,2024 Merced NWR - Cottonwood Trail,2024,6,15,8,0,sp31,Simple Call,22.2933,23.1787,3281,5719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/15/r6t8ev3c4grp/767e4d0c-3ba7-4b5e-beae-870ceb28ebd2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=zZtBMYEqcwNNJRPyzoDQtzCx3Eg%3D,0.222567,63114
1069905284,MNWR-CTam-2024-06-25_07-00.WAV,2024 Merced NWR - Cottonwood Trail,2024,6,25,7,0,sp31,Simple Call,34.3573,35.2427,3281,5719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/25/r6t8ev3c4grp/d4f3e88a-d740-4c07-bee4-12ef54855646.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=CuAHr1Rb6%2BRMlM%2FjxXOsNLLYWdI%3D,0.232929,63114
1069905285,MNWR-CTam-2024-06-25_05-20.WAV,2024 Merced NWR - Cottonwood Trail,2024,6,25,5,20,sp31,Simple Call,19.0827,19.968,3281,5719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/25/r6t8ev3c4grp/36fefe20-6aa3-47ca-b3a8-d557deee0b39.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=ZYs%2BiMHl6JaPb4xa9P2WdHv3CYg%3D,0.215959,63114
1069905286,MNWR-CTam-2024-06-25_05-40.WAV,2024 Merced NWR - Cottonwood Trail,2024,6,25,5,40,sp31,Simple Call,2.98133,3.86667,3281,5719,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/06/25/r6t8ev3c4grp/2bc5332f-5418-4c40-90b8-6bfb4b734210.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765175505&Signature=h5kSh3fG48YxQ2Ibfx4T9Rkvu58%3D,0.206202,63114
