id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1123434884,NRPam-2024-04-17_14-40.WAV,2024 North Regional Pond,2024,4,17,14,40,sp35,Common Song,57.1947,57.856,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/17/ldsm2sbs3di1/8a917ef7-caa4-44bb-b36c-55379cfa1cca.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=UEiUih2%2BMjxz%2Bu9BfEIwOPObFJ0%3D,0.202108,77023
1123434885,NRPam-2024-04-17_11-00.WAV,2024 North Regional Pond,2024,4,17,11,0,sp35,Common Song,35.92,36.5813,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/17/ldsm2sbs3di1/6508a6da-53ff-4282-8efa-b0a37402560a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=ieOu0LsdBrj54sjF3CyCf4U63XY%3D,0.22096,77023
1123434886,NRPam-2024-04-17_21-20.WAV,2024 North Regional Pond,2024,4,17,21,20,sp35,Common Song,19.7013,20.3627,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/18/ldsm2sbs3di1/14181406-ab81-4ff6-b1cb-554a20074e00.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=UCjJD0NbSHRCXD4yCj8AU4LHv20%3D,0.20332,77023
1123434887,NRPam-2024-04-17_17-00.WAV,2024 North Regional Pond,2024,4,17,17,0,sp35,Common Song,22.528,23.1893,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/18/ldsm2sbs3di1/c7300838-292f-4062-9457-9c0242a5b3b0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=7iTSVCmUbMS6RQAbPMSGphh4TDY%3D,0.220568,77023
1123434888,NRPam-2024-04-17_08-20.WAV,2024 North Regional Pond,2024,4,17,8,20,sp35,Common Song,11.6053,12.2667,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/17/ldsm2sbs3di1/d0be127b-d03b-4a89-8d12-c64414917300.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=UWrNITzQ4sELHbQWqy1JSdAW7Hg%3D,0.285867,77023
1123434889,NRPam-2024-04-17_19-40.WAV,2024 North Regional Pond,2024,4,17,19,40,sp35,Common Song,31.1413,31.8027,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/18/ldsm2sbs3di1/a803ce0c-98e9-43c8-a289-8915b371448a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=xIzxWlTCoZw%2FC%2FUi3A2EnTF22pc%3D,0.22664,77023
1123434890,NRPam-2024-04-17_20-20.WAV,2024 North Regional Pond,2024,4,17,20,20,sp35,Common Song,25.056,25.7173,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/18/ldsm2sbs3di1/e8e9a6db-2f4a-41c1-a28e-227a32a922ff.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=ODqTU7AxvSRLhAVas%2BAKttsoMRY%3D,0.217529,77023
1123434891,NRPam-2024-04-18_20-00.WAV,2024 North Regional Pond,2024,4,18,20,0,sp35,Common Song,9.13067,9.792,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/19/ldsm2sbs3di1/ea4c7eb3-ed74-4170-99e0-8076627d0982.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=gMTBqVDVAfOqDNGeWAdYSFzW5hg%3D,0.203988,77023
1123434892,NRPam-2024-04-17_18-40.WAV,2024 North Regional Pond,2024,4,17,18,40,sp35,Common Song,52.608,53.2693,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/18/ldsm2sbs3di1/a2a739c0-bfb7-436c-9cab-ce10f4e5bcc3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=13NSJ90i9ipwHqU%2FhJzFRMqpi0Q%3D,0.278422,77023
1123434893,NRPam-2024-04-17_10-40.WAV,2024 North Regional Pond,2024,4,17,10,40,sp35,Common Song,0.032,0.693333,3938,4969,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/17/ldsm2sbs3di1/46c5ba6f-e08e-40db-80d9-651b2d4db850.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1776536563&Signature=QqCdQmXeZqRBDCvZtmRzHUsASEc%3D,0.218272,77023
