recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
WWP-Sam-2024-04-30_12-40.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,12,40,sp22,Simple Call,1.813333392,3.018666744,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/30/ps0et4y0u1yn/280e7acf-55a1-459d-b265-cfd75a5075c0.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=e2c5c32b1ceae4dbb9ac13cf81d8fa75ebbe229ffa64eef4a11915d2bcbabb2c&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D280e7acf-55a1-459d-b265-cfd75a5075c0.flac&x-id=GetObject,0.210802272,65483
WWP-Sam-2024-04-30_13-20.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,13,20,sp22,Simple Call,37.04533386,38.25066757,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/30/ps0et4y0u1yn/4e0209de-3bc9-4f81-bcd1-c39599b87857.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=90b9c4735d35195a7e54bb6d635cec4429346af5219f9d8b3c5c847d6afb00db&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D4e0209de-3bc9-4f81-bcd1-c39599b87857.flac&x-id=GetObject,0.215051681,65483
WWP-Sam-2024-04-30_14-00.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,14,0,sp22,Simple Call,45.04533386,46.25066757,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/30/ps0et4y0u1yn/aa5faf23-7e6a-4e8b-8c87-218464bcee70.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=0d863d2b4b52d640876438e3c9ec6815600bb9c0862d4473e024178d71460aa7&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Daa5faf23-7e6a-4e8b-8c87-218464bcee70.flac&x-id=GetObject,0.211936951,65483
WWP-Sam-2024-04-30_14-40.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,14,40,sp22,Simple Call,10.9119997,12.11733341,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/30/ps0et4y0u1yn/795fcbb6-27a1-49c8-8687-a9b082a0c4a3.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=2f02094ca0e95d026b631541f4d52f19be9b3a1a8687048f6d51c711cdaaa7b3&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D795fcbb6-27a1-49c8-8687-a9b082a0c4a3.flac&x-id=GetObject,0.208503619,65483
WWP-Sam-2024-04-30_15-20.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,15,20,sp22,Simple Call,6.415999889,7.621333122,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/30/ps0et4y0u1yn/8c7f0c4e-ff7e-4047-b25a-f99ddc42ab52.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=d048d9d41690c48474d32a63d75657c91f32da9fffcc73e2293b958160b71fd8&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D8c7f0c4e-ff7e-4047-b25a-f99ddc42ab52.flac&x-id=GetObject,0.239024043,65483
WWP-Sam-2024-04-30_15-40.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,15,40,sp22,Simple Call,58.34133148,59.54666519,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/04/30/ps0et4y0u1yn/0d5b22bf-05cb-43d1-ab9a-b09abb3d9a05.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=81728cf78ef51070df3db54ac99d73c9b039468b6c11ced10bf1de8b5fdfa5f1&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D0d5b22bf-05cb-43d1-ab9a-b09abb3d9a05.flac&x-id=GetObject,0.266707093,65483
WWP-Sam-2024-04-30_17-00.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,17,0,sp22,Simple Call,22.84266663,24.04800034,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/01/ps0et4y0u1yn/566e432e-ecd2-43bd-a180-162f26c69d4d.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=dc01b9ceadeb1e6dcac45a7aec10c93326c8abcd86563fe67109c15f2801b4e6&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D566e432e-ecd2-43bd-a180-162f26c69d4d.flac&x-id=GetObject,0.208153412,65483
WWP-Sam-2024-04-30_17-40.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,17,40,sp22,Simple Call,26.87999916,28.08533287,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/01/ps0et4y0u1yn/9e51a4f8-a0b2-4957-91a9-0b53ee08ee4a.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=ab3e474a96902c8cd62cbb9188c467415e700c91a14482ee9693cdef118cfba5&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D9e51a4f8-a0b2-4957-91a9-0b53ee08ee4a.flac&x-id=GetObject,0.234312877,65483
WWP-Sam-2024-04-30_18-00.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,18,0,sp22,Simple Call,42.82133484,44.02666855,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/01/ps0et4y0u1yn/3e59e6eb-8989-4d1d-b566-483a42980b0b.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=d415d8b9f72f82747be8bdd85097bfc193df2bd3050b9906102b0b3782b55e9a&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D3e59e6eb-8989-4d1d-b566-483a42980b0b.flac&x-id=GetObject,0.216150388,65483
WWP-Sam-2024-04-30_18-40.WAV,2024 Wind Wolves Preserve - Santiago,2024,4,30,18,40,sp22,Simple Call,28.42666626,29.63199997,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/01/ps0et4y0u1yn/0c74f848-945b-45bc-a084-8db89da8f530.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003617Z&X-Amz-Expires=604800&X-Amz-Signature=c21d3d34015867e009e00468e14b2282b98b66fd42e295f863eb6f3773454405&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D0c74f848-945b-45bc-a084-8db89da8f530.flac&x-id=GetObject,0.273821205,65483
