recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
WWP-Tam-2024-05-03_13-40.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,3,13,40,sp22,Simple Call,10.44799995,11.65333366,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/03/bmlefamcw8ih/e0260a7d-4f6b-44da-8806-ce1d1abdc764.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003526Z&X-Amz-Expires=604800&X-Amz-Signature=94bbf19c67aa24b9ac7f02f94e1b65eddd2f96731e0d8ce57a57939b0e5ec8fb&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3De0260a7d-4f6b-44da-8806-ce1d1abdc764.flac&x-id=GetObject,0.206089467,65480
WWP-Tam-2024-05-03_15-40.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,3,15,40,sp22,Simple Call,5.797333241,7.002666473,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/03/bmlefamcw8ih/863ce2e9-6868-417c-83ad-942dfb08db4a.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003509Z&X-Amz-Expires=604800&X-Amz-Signature=f8829ec66ef8ada604bff2c568d179dd2beee0b29a360ceff5e4a2aee84f34d3&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D863ce2e9-6868-417c-83ad-942dfb08db4a.flac&x-id=GetObject,0.214844152,65480
WWP-Tam-2024-05-03_19-00.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,3,19,0,sp22,Simple Call,9.343999863,10.54933357,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/04/bmlefamcw8ih/54f39e3f-c1e2-4602-9e37-074abb083f83.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003509Z&X-Amz-Expires=604800&X-Amz-Signature=32fae58e1ee82a8068b8b9130d8a94b4f2a4e256c2324e72a32328386156fcf1&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D54f39e3f-c1e2-4602-9e37-074abb083f83.flac&x-id=GetObject,0.257431328,65480
WWP-Tam-2024-05-04_07-20.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,4,7,20,sp22,Simple Call,49.16266632,50.36800003,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/04/bmlefamcw8ih/5f377dd7-3f7d-40ac-b4c0-838c502872e5.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003509Z&X-Amz-Expires=604800&X-Amz-Signature=360bc1d2c88e5ac7480447511d025df9631174eda01f0c07d1709655a552ec6c&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5f377dd7-3f7d-40ac-b4c0-838c502872e5.flac&x-id=GetObject,0.239146113,65480
WWP-Tam-2024-05-04_09-00.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,4,9,0,sp22,Simple Call,31.36533356,32.57066727,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/04/bmlefamcw8ih/9c4aceb0-48a1-4d66-9277-ba4295b849e7.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003526Z&X-Amz-Expires=604800&X-Amz-Signature=194c01fa278ecf3b77b174b224c68773bd20917ac59f0144fe428afd25bf1994&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D9c4aceb0-48a1-4d66-9277-ba4295b849e7.flac&x-id=GetObject,0.243606567,65480
WWP-Tam-2024-05-04_15-20.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,4,15,20,sp22,Simple Call,55.14133453,56.34666824,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/04/bmlefamcw8ih/d597c611-0703-4d74-8fba-e35aa1fe6f06.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003526Z&X-Amz-Expires=604800&X-Amz-Signature=bf34fe9287b2cc4c4a14e7186039b3c0d607ddf2fdc068525fab2c11816fed0c&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dd597c611-0703-4d74-8fba-e35aa1fe6f06.flac&x-id=GetObject,0.313091546,65480
WWP-Tam-2024-05-04_16-00.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,4,16,0,sp22,Simple Call,6.965333462,8.170666695,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/04/bmlefamcw8ih/cd06e6e4-2db3-493b-81f3-f33c3faab619.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003526Z&X-Amz-Expires=604800&X-Amz-Signature=d926ecf69bffa2328dfa09501d2131021a0be4ff88414c51d8aa23ea7435f737&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dcd06e6e4-2db3-493b-81f3-f33c3faab619.flac&x-id=GetObject,0.244933441,65480
WWP-Tam-2024-05-04_16-40.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,4,16,40,sp22,Simple Call,40.6293335,41.83466721,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/04/bmlefamcw8ih/660ca8df-4549-4abe-9b6b-da3e2d707a2c.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003526Z&X-Amz-Expires=604800&X-Amz-Signature=389582c23acba7f5f17f88b1f7c855d4b3999daeb755245317f3b093dd2de84f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D660ca8df-4549-4abe-9b6b-da3e2d707a2c.flac&x-id=GetObject,0.284578979,65480
WWP-Tam-2024-05-04_17-00.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,4,17,0,sp22,Simple Call,51.76533508,52.97066498,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/05/bmlefamcw8ih/f2323f73-a9db-4417-b454-5e1eea720acb.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003526Z&X-Amz-Expires=604800&X-Amz-Signature=d79a70f611b92a00ed46e8f996358fc3879b52fb15baa8f2c7df9d7c22f4bc7f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Df2323f73-a9db-4417-b454-5e1eea720acb.flac&x-id=GetObject,0.295494348,65480
WWP-Tam-2024-05-04_18-00.WAV,2024 Wind Wolves Preserve - Tevis,2024,5,4,18,0,sp22,Simple Call,15.6960001,16.90133286,2625,7219,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/05/bmlefamcw8ih/69d61456-44af-4ece-b992-cea53bc9cf5a.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T003526Z&X-Amz-Expires=604800&X-Amz-Signature=a6d37f122226360e755f8a31bd42e94356470d9de06926cbcf1dcc00af5c7c0f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D69d61456-44af-4ece-b992-cea53bc9cf5a.flac&x-id=GetObject,0.22271347,65480
